t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0.002,1,0.000439817,0,1.93443e-06,-0.00100529,-6.75329e-06,-6.82827e-07,0.219909,0,0.000967215,-9.10517e-18,3.85453e-17,-3.10901e-16,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462897,-0.00361002,0.356251,-0.0467296,-0.00361002,0.356249,1,1,1,1
0.004,0.004,1,0.00088087,-1.09042e-06,7.49435e-06,-0.00201103,-1.21108e-05,-4.96973e-06,0.220527,-0.000545212,0.00277996,-0.352009,-0.00187513,-0.00150042,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462885,-0.00361111,0.356251,-0.0471693,-0.00361002,0.356243,1,1,1,1
0.006,0.006,1,0.00132095,-1.99217e-06,1.71977e-05,-0.00286319,-1.25305e-05,-9.67822e-06,0.220042,-0.000450875,0.00485169,-0.298257,-0.000147094,-0.0016487,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462881,-0.00361201,0.356251,-0.0476091,-0.00361002,0.356234,1,1,1,1
0.008,0.008,1,0.00176057,-1.99217e-06,3.07366e-05,-0.00386843,-1.92796e-05,-1.03576e-05,0.219807,0,0.00676946,-0.351835,-0.00236083,-0.000236625,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462881,-0.00361201,0.356251,-0.0480487,-0.00361002,0.35622,1,1,1,1
0.01,0.01,1,0.00219884,-5.01661e-06,4.81589e-05,-0.00419664,-1.44322e-05,-1.57978e-05,0.219137,-0.00151222,0.00871111,-0.114873,0.00169443,-0.00190719,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462893,-0.00361504,0.356251,-0.0484881,-0.00361002,0.356203,1,1,1,1
0.012,0.012,1,0.00263499,-1.35811e-05,7.03241e-05,-0.00504552,-1.82004e-05,-2.56888e-05,0.218072,-0.00428226,0.0110826,-0.297109,-0.00132215,-0.0034609,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462925,-0.0036236,0.356252,-0.0489275,-0.00361002,0.356182,1,1,1,1
0.014,0.014,1,0.00307409,-1.35811e-05,9.54581e-05,-0.00605066,-2.49415e-05,-2.63637e-05,0.219551,0,0.012567,-0.351799,-0.00235546,-0.000233453,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462925,-0.0036236,0.356252,-0.0493666,-0.00361002,0.356156,1,1,1,1
0.016,0.016,1,0.00350731,-2.31121e-05,0.000125824,-0.00698857,-3.03447e-05,-3.56239e-05,0.216612,-0.0047655,0.0151829,-0.328266,-0.00189505,-0.0032393,35,35,35,35,35,35,35,35,35,35,35,35,-0.0462981,-0.00363313,0.356253,-0.0498054,-0.00361002,0.356127,1,1,1,1
0.018,0.018,1,0.00393746,-3.26685e-05,0.000160207,-0.00792201,-3.67334e-05,-4.49559e-05,0.215074,-0.00477817,0.0171917,-0.326706,-0.00224011,-0.00326336,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463066,-0.00364269,0.356255,-0.050244,-0.00361002,0.356095,1,1,1,1
0.02,0.02,1,0.00437575,-3.26685e-05,0.000196919,-0.00892699,-4.34647e-05,-4.56303e-05,0.219143,0,0.0183558,-0.351741,-0.00234898,-0.000233172,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463182,-0.00365232,0.356256,-0.0506823,-0.00361002,0.356058,1,1,1,1
0.022,0.022,1,0.00480209,-4.23001e-05,0.000239193,-0.00985564,-5.11363e-05,-5.5013e-05,0.213173,-0.00481578,0.0211369,-0.325029,-0.00269074,-0.00327927,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463182,-0.00365232,0.356256,-0.0511203,-0.00361002,0.356017,1,1,1,1
0.024,0.024,1,0.0052256,-5.15341e-05,0.000285342,-0.0107875,-6.04778e-05,-6.38306e-05,0.211751,-0.00461704,0.0230747,-0.326135,-0.00327431,-0.00307892,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463322,-0.00366155,0.356258,-0.0515578,-0.00361002,0.355973,1,1,1,1
0.026,0.026,1,0.00564468,-6.14024e-05,0.000335484,-0.0117151,-7.2565e-05,-7.29855e-05,0.209542,-0.00493413,0.0250709,-0.324666,-0.00423589,-0.00319225,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463503,-0.00367142,0.35626,-0.051995,-0.00361002,0.355925,1,1,1,1
0.028,0.028,1,0.0060814,-6.14024e-05,0.000387591,-0.0127197,-7.92814e-05,-7.36649e-05,0.218362,0,0.0260536,-0.351631,-0.0023393,-0.000236817,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463503,-0.00367142,0.35626,-0.0524317,-0.00361002,0.355873,1,1,1,1
0.03,0.03,1,0.00649628,-7.13956e-05,0.00044541,-0.013647,-9.42692e-05,-8.27361e-05,0.20744,-0.0049966,0.0289097,-0.324539,-0.00525238,-0.00315594,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463717,-0.00368142,0.356262,-0.052868,-0.00361002,0.355817,1,1,1,1
0.032,0.032,1,0.00690739,-8.15164e-05,0.000507016,-0.0145739,-0.000112157,-9.17382e-05,0.205554,-0.00506042,0.030803,-0.324415,-0.00626733,-0.00312532,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463963,-0.00369154,0.356264,-0.0533037,-0.00361002,0.355757,1,1,1,1
0.034,0.034,1,0.00734259,-8.15164e-05,0.000570629,-0.0155782,-0.000118863,-9.24276e-05,0.217599,0,0.0318063,-0.351522,-0.00233272,-0.000243987,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463963,-0.00369154,0.356264,-0.0537389,-0.00361002,0.355693,1,1,1,1
