t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,0.000439817,0,1.93443e-06,-0.00100527,-8.98245e-06,-1.32094e-06,0.219909,0,0.000967215,-1.09343e-17,6.25014e-19,6.21724e-16,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471219,-0.00295096,0.356498,-0.0475617,-0.00295096,0.356497,1,1,1,1
0.004,0,1,0.000880363,-1.30332e-09,7.83056e-06,-0.00201135,-1.82963e-05,-2.37818e-06,0.220273,-6.51659e-07,0.00294806,-0.35213,-0.00325986,-0.000370034,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471211,-0.00295096,0.356499,-0.0480015,-0.00295096,0.356491,1,1,1,1
0.006,0,1,0.00132008,-1.30332e-09,1.7502e-05,-0.0030166,-2.72787e-05,-3.69925e-06,0.219858,0,0.0048357,-0.351836,-0.00314389,-0.000462432,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471211,-0.00295096,0.356499,-0.0484412,-0.00295096,0.356481,1,1,1,1
0.008,0,1,0.00175954,3.50393e-07,3.1101e-05,-0.00375531,-2.83975e-05,-1.38312e-06,0.219732,0.000175848,0.00679953,-0.258549,-0.000390429,0.000808673,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471213,-0.00295061,0.356499,-0.0488808,-0.00295096,0.356468,1,1,1,1
0.01,0,1,0.00219725,-2.58948e-06,4.86296e-05,-0.0043429,-2.7159e-05,-1.79477e-06,0.218856,-0.00146993,0.00876431,-0.205655,0.000433263,-0.00014667,35,35,35,35,35,35,35,35,35,35,35,35,-0.047123,-0.00295355,0.356499,-0.0493203,-0.00295096,0.35645,1,1,1,1
0.012,0,1,0.00263279,-9.17217e-06,7.06663e-05,-0.00527675,-3.32148e-05,-5.14072e-06,0.217769,-0.00329135,0.0110183,-0.326848,-0.00212141,-0.00117051,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471268,-0.00296013,0.3565,-0.0497596,-0.00295096,0.356429,1,1,1,1
0.014,0,1,0.00306655,-1.52133e-05,9.68514e-05,-0.00622729,-4.03615e-05,-8.46825e-06,0.216879,-0.00302056,0.0130925,-0.332687,-0.00250317,-0.00116333,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471325,-0.00296653,0.356501,-0.0501987,-0.00295096,0.356404,1,1,1,1
0.016,0,1,0.00350504,-1.55681e-05,0.000125913,-0.00722918,-4.92625e-05,-9.90543e-06,0.219246,-0.000177419,0.0145309,-0.350663,-0.00311541,-0.000500383,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471325,-0.00296653,0.356501,-0.0506375,-0.00295096,0.356375,1,1,1,1
0.018,0,1,0.00393534,-2.2299e-05,0.000160053,-0.00817398,-5.7827e-05,-1.36933e-05,0.215149,-0.00336544,0.0170697,-0.330681,-0.00300028,-0.00132306,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471408,-0.00297326,0.356502,-0.0510761,-0.00295096,0.356342,1,1,1,1
0.02,0,1,0.004363,-2.90209e-05,0.000198185,-0.00911783,-6.85435e-05,-1.77629e-05,0.213831,-0.00336095,0.0190664,-0.330345,-0.00375381,-0.001419,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471514,-0.00297998,0.356503,-0.0515144,-0.00295096,0.356305,1,1,1,1
0.022,0,1,0.00480095,-2.90209e-05,0.000238751,-0.0101227,-7.75196e-05,-1.90769e-05,0.218973,0,0.0202827,-0.351711,-0.00314062,-0.000457616,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471514,-0.00297998,0.356503,-0.0519524,-0.00295096,0.356265,1,1,1,1
0.024,0,1,0.0052256,-3.57281e-05,0.00028471,-0.0110662,-9.04062e-05,-2.3557e-05,0.212326,-0.00335359,0.0229797,-0.330206,-0.00451449,-0.0015588,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471643,-0.00298669,0.356505,-0.0523899,-0.00295096,0.35622,1,1,1,1
0.026,0,1,0.00564757,-4.24195e-05,0.000334589,-0.0120097,-0.000105461,-2.84793e-05,0.210985,-0.00334568,0.0249391,-0.330235,-0.00527406,-0.0017097,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471795,-0.00299338,0.356506,-0.0528271,-0.00295096,0.356172,1,1,1,1
0.028,0,1,0.00608429,-4.24195e-05,0.000386696,-0.0130143,-0.000114431,-2.97984e-05,0.218362,0,0.0260536,-0.351625,-0.00313743,-0.000461416,35,35,35,35,35,35,35,35,35,35,35,35,-0.0471795,-0.00299338,0.356506,-0.0532638,-0.00295096,0.35612,1,1,1,1
0.03,0,1,0.00650309,-4.90965e-05,0.000444288,-0.0139578,-0.000131579,-3.51666e-05,0.209399,-0.00333853,0.0287963,-0.330226,-0.00600823,-0.00186019,35,35,35,35,35,35,35,35,35,35,35,35,-0.047197,-0.00300006,0.356508,-0.0537001,-0.00295096,0.356064,1,1,1,1
0.032,0,1,0.00691914,-5.5763e-05,0.000505715,-0.0149013,-0.000150755,-4.09697e-05,0.208025,-0.00333327,0.0307133,-0.330214,-0.00671891,-0.00200784,35,35,35,35,35,35,35,35,35,35,35,35,-0.0472167,-0.00300672,0.35651,-0.0541358,-0.00295096,0.356004,1,1,1,1
0.034,0,1,0.00735434,-5.5763e-05,0.000569327,-0.0159056,-0.000159718,-4.22983e-05,0.217599,0,0.0318063,-0.351517,-0.00313347,-0.000468143,35,35,35,35,35,35,35,35,35,35,35,35,-0.0472167,-0.00300672,0.35651,-0.054571,-0.00295096,0.35594,1,1,1,1
0.036,0,1,0.00776825,-6.2073e-05,0.000638298,-0.0168521,-0.000180168,-4.82622e-05,0.206958,-0.00315496,0.0344852,-0.331261,-0.00716621,-0.00205896,35,35,35,35,35,35,35,35,35,35,35,35,-0.0472374,-0.00301303,0.356511,-0.0550056,-0.00295096,0.355873,1,1,1,1
0.038,0,1,0.00820227,-6.2073e-05,0.000709556,-0.0178562,-0.000189127,-4.95965e-05,0.217005,0,0.0356293,-0.351433,-0.0031311,-0.000472263,35,35,35,35,35,35,35,35,35,35,35,35,-0.0472374,-0.00301303,0.356511,-0.0554397,-0.00295096,0.355802,1,1,1,1
