t_real	tv	d_tv	p_c_x	p_c_y	p_c_z	Rc_00	Rc_01	Rc_02	Rc_10	Rc_11	Rc_12	Rc_20	Rc_21	Rc_22	p_d_x	p_d_y	p_d_z	Rd_00	Rd_01	Rd_02	Rd_10	Rd_11	Rd_12	Rd_20	Rd_21	Rd_22
0.002	0.002	1	0.0275586	-0.00397939	0.356484	0.999926	0.012123	0.000900863	-0.0121231	0.999927	8.13024e-05	-0.000899811	-9.22176e-05	1	0.0271188	-0.00397939	0.356482	0.999926	0.0121234	0.000894769	-0.0121226	0.999926	-0.000923987	-0.000905904	0.000913072	0.999999
0.004	0.004	1	0.0275591	-0.00397954	0.356484	0.999926	0.0121244	0.000902441	-0.0121245	0.999926	9.62412e-05	-0.000901208	-0.000107176	1	0.026679	-0.00397939	0.356476	0.999926	0.0121239	0.000888674	-0.0121221	0.999925	-0.00192927	-0.000911998	0.00191835	0.999998
0.006	0.006	1	0.0275591	-0.00397955	0.356484	0.999926	0.0121246	0.000902651	-0.0121247	0.999926	9.70896e-05	-0.000901408	-0.000108027	1	0.0262393	-0.00397939	0.356467	0.999926	0.0121243	0.00088258	-0.0121217	0.999922	-0.00293454	-0.00091809	0.00292362	0.999995
0.008	0.008	1	0.0275581	-0.00397967	0.356485	0.999926	0.0121257	0.00090344	-0.0121253	0.999926	-0.000431133	-0.000908602	0.000420147	0.999999	0.0257997	-0.00397939	0.356453	0.999926	0.0121247	0.000876484	-0.0121212	0.999919	-0.00393978	-0.000924182	0.00392886	0.999992
0.01	0.01	1	0.0275581	-0.00397967	0.356485	0.999926	0.0121257	0.00090344	-0.0121253	0.999926	-0.000431133	-0.000908602	0.000420147	0.999999	0.0253602	-0.00397939	0.356436	0.999926	0.0121252	0.000870389	-0.0121207	0.999914	-0.00494499	-0.000930273	0.00493408	0.999987
0.012	0.012	1	0.0275553	-0.0039849	0.356485	0.999926	0.0121311	0.000906159	-0.0121305	0.999926	-0.000706338	-0.000914661	0.000695294	0.999999	0.0249209	-0.00397939	0.356414	0.999926	0.0121256	0.000864294	-0.0121202	0.999909	-0.00595016	-0.000936364	0.00593925	0.999982
0.014	0.014	1	0.0275503	-0.00399241	0.356487	0.999926	0.0121357	0.000909618	-0.012135	0.999926	-0.000766937	-0.000918858	0.000755842	0.999999	0.0244818	-0.00397939	0.356389	0.999926	0.012126	0.000858198	-0.0121197	0.999902	-0.00695529	-0.000942454	0.00694437	0.999975
0.016	0.016	1	0.0275503	-0.00399241	0.356487	0.999926	0.0121357	0.000909618	-0.012135	0.999926	-0.000766937	-0.000918858	0.000755842	0.999999	0.0240429	-0.00397939	0.35636	0.999926	0.0121264	0.000852102	-0.0121192	0.999895	-0.00796036	-0.000948543	0.00794944	0.999968
0.018	0.018	1	0.0275432	-0.00399994	0.356488	0.999926	0.0121401	0.000910808	-0.0121394	0.999926	-0.000821806	-0.000920717	0.000810689	0.999999	0.0236043	-0.00397939	0.356327	0.999926	0.0121268	0.000846006	-0.0121187	0.999886	-0.00896537	-0.000954631	0.00895445	0.999959
0.02	0.02	1	0.0275341	-0.0040074	0.35649	0.999926	0.0121446	0.000910052	-0.0121438	0.999926	-0.000876587	-0.00092063	0.00086547	0.999999	0.023166	-0.00397939	0.356291	0.999926	0.0121272	0.00083991	-0.0121182	0.999877	-0.0099703	-0.000960719	0.00995939	0.99995
0.022	0.022	1	0.0275341	-0.0040074	0.35649	0.999926	0.0121446	0.000910052	-0.0121438	0.999926	-0.000876587	-0.00092063	0.00086547	0.999999	0.0227281	-0.00397939	0.35625	0.999926	0.0121276	0.000833814	-0.0121177	0.999866	-0.0109752	-0.000966805	0.0109642	0.999939
0.024	0.024	1	0.0275228	-0.00401481	0.356492	0.999926	0.0121493	0.000906686	-0.0121484	0.999926	-0.000932512	-0.000917948	0.000921428	0.999999	0.0222905	-0.00397939	0.356206	0.999926	0.012128	0.000827718	-0.0121172	0.999855	-0.0119799	-0.000972891	0.011969	0.999928
0.026	0.026	1	0.0275095	-0.00402216	0.356494	0.999926	0.0121542	0.000900884	-0.0121533	0.999926	-0.000988591	-0.000912833	0.000977569	0.999999	0.0218533	-0.00397939	0.356157	0.999926	0.0121284	0.000821623	-0.0121167	0.999842	-0.0129846	-0.000978975	0.0129737	0.999915
0.028	0.028	1	0.0274951	-0.00402907	0.356495	0.999926	0.0121592	0.000893359	-0.0121583	0.999926	-0.00104154	-0.000905957	0.0010306	0.999999	0.0214166	-0.00397939	0.356105	0.999926	0.0121287	0.000815527	-0.0121161	0.999829	-0.0139892	-0.000985058	0.0139783	0.999902
0.03	0.03	1	0.0274951	-0.00402907	0.356495	0.999926	0.0121592	0.000893359	-0.0121583	0.999926	-0.00104154	-0.000905957	0.0010306	0.999999	0.0209804	-0.00397939	0.356049	0.999926	0.0121291	0.000809432	-0.0121156	0.999814	-0.0149936	-0.000991141	0.0149827	0.999887
0.032	0.032	1	0.0274768	-0.00403635	0.356497	0.999926	0.0121644	0.000885529	-0.0121634	0.999925	-0.00111017	-0.000898967	0.00109931	0.999999	0.0205446	-0.00397939	0.35599	0.999926	0.0121294	0.000803337	-0.012115	0.999799	-0.015998	-0.000997222	0.0159871	0.999872
0.034	0.034	1	0.0274542	-0.00404385	0.356499	0.999926	0.0121685	0.00087807	-0.0121675	0.999925	-0.00118442	-0.000892417	0.00117364	0.999999	0.0201094	-0.00397939	0.355926	0.999926	0.0121298	0.000797242	-0.0121145	0.999782	-0.0170022	-0.0010033	0.0169913	0.999855
0.036	0.036	1	0.0274542	-0.00404385	0.356499	0.999926	0.0121685	0.00087807	-0.0121675	0.999925	-0.00118442	-0.000892417	0.00117364	0.999999	0.0196748	-0.00397939	0.355859	0.999926	0.0121301	0.000791147	-0.0121139	0.999764	-0.0180063	-0.00100938	0.0179954	0.999838
0.038	0.038	1	0.0274272	-0.00405165	0.356501	0.999926	0.0121714	0.000868146	-0.0121703	0.999925	-0.00125997	-0.000883417	0.00124931	0.999999	0.0192408	-0.00397939	0.355787	0.999926	0.0121305	0.000785053	-0.0121134	0.999746	-0.0190103	-0.00101546	0.0189993	0.999819
0.04	0.04	1	0.027396	-0.00405976	0.356503	0.999926	0.0121729	0.000854773	-0.0121718	0.999925	-0.00133691	-0.000870983	0.0013264	0.999999	0.0188074	-0.00397939	0.355712	0.999926	0.0121308	0.00077896	-0.0121128	0.999726	-0.0200141	-0.00102153	0.0200031	0.999799
