t_real	tv	d_tv	e_p_x	e_p_y	e_p_z	e_o_x	e_o_y	e_o_z	e_v_lin_x	e_v_lin_y	e_v_lin_z	e_v_ang_x	e_v_ang_y	e_v_ang_z
0.002	0.002	1	0.000439817	0	1.93443e-06	-0.00100529	6.0938e-06	4.52566e-07	0.219909	0	0.000967215	2.42842e-17	1.91164e-17	-3.10882e-16
0.004	0.004	1	0.000879601	0	7.73757e-06	-0.00201057	1.21876e-05	9.0513e-07	0.219892	0	0.00290157	-0.351849	0.00213282	0.000158397
0.006	0.006	1	0.00131983	-1.62507e-07	1.7795e-05	-0.00303163	2.00721e-05	-2.51581e-07	0.220115	-8.12536e-05	0.00502871	-0.35737	0.00275931	-0.000405147
0.008	0.008	1	0.00175846	-2.81105e-07	3.14821e-05	-0.00350866	2.69579e-05	-8.50743e-07	0.219317	-5.92988e-05	0.00684354	-0.166959	0.00240988	-0.000210982
0.01	0.01	1	0.00219794	-2.81105e-07	4.88874e-05	-0.00451388	3.30525e-05	-3.95349e-07	0.219739	0	0.00870269	-0.351827	0.00213354	0.000160388
0.012	0.012	1	0.00263443	-5.5141e-06	7.09893e-05	-0.00524387	4.18837e-05	-5.40866e-06	0.218245	-0.0026165	0.0110509	-0.255495	0.00308795	-0.00175663
0.014	0.014	1	0.00306854	-1.3022e-05	9.74699e-05	-0.00618842	5.14575e-05	-9.49777e-06	0.217054	-0.00375392	0.0132403	-0.330593	0.00334876	-0.00143237
0.016	0.016	1	0.0035074	-1.3022e-05	0.000126465	-0.00719352	5.75563e-05	-9.03829e-06	0.219432	0	0.0144977	-0.351784	0.00213676	0.00016326
0.018	0.018	1	0.00393891	-2.05495e-05	0.000160882	-0.00814369	6.48663e-05	-1.29822e-05	0.215755	-0.00376378	0.0172083	-0.332562	0.00255581	-0.00137971
0.02	0.02	1	0.00436802	-2.80109e-05	0.000199257	-0.0090939	7.02354e-05	-1.70144e-05	0.214555	-0.00373069	0.0191877	-0.332572	0.00187636	-0.0014082
0.022	0.022	1	0.00480597	-2.80109e-05	0.000239823	-0.0100988	7.63375e-05	-1.65544e-05	0.218973	0	0.0202827	-0.35172	0.00213948	0.00016362
0.024	0.024	1	0.00523231	-3.54195e-05	0.000286013	-0.0110477	7.91036e-05	-2.0776e-05	0.213168	-0.00370428	0.0230951	-0.332121	0.000964263	-0.00147029
0.026	0.026	1	0.00565619	-4.27708e-05	0.000336123	-0.0119964	7.94407e-05	-2.53044e-05	0.21194	-0.00367568	0.0250552	-0.332038	0.000113591	-0.00157338
0.028	0.028	1	0.0060793	-4.92993e-05	0.00038992	-0.0129511	7.85239e-05	-2.95993e-05	0.211558	-0.00326426	0.0268983	-0.334131	-0.000324759	-0.00148918
0.03	0.03	1	0.0065147	-4.9682e-05	0.000445966	-0.0139527	8.41668e-05	-2.94351e-05	0.217699	-0.000191319	0.0280233	-0.350571	0.00198061	5.83089e-05
0.032	0.032	1	0.00693215	-5.69597e-05	0.0005077	-0.0148885	8.24884e-05	-3.42052e-05	0.208727	-0.00363888	0.0308667	-0.327545	-0.000593275	-0.0016529
0.034	0.034	1	0.00734472	-6.44615e-05	0.000573264	-0.0158187	8.11779e-05	-3.79984e-05	0.206282	-0.00375087	0.0327821	-0.325539	-0.000462171	-0.001312
0.036	0.036	1	0.00777934	-6.44615e-05	0.000640702	-0.0168229	8.7288e-05	-3.75537e-05	0.21731	0	0.0337191	-0.351484	0.00214642	0.000152937
0.038	0.038	1	0.0081864	-7.22624e-05	0.00071383	-0.0177515	8.35042e-05	-4.0046e-05	0.203529	-0.00390048	0.0365641	-0.324999	-0.00132492	-0.000848638
0.04	0.04	1	0.00858853	-8.03697e-05	0.00079064	-0.0186785	7.62594e-05	-4.12896e-05	0.201068	-0.00405363	0.0384049	-0.324468	-0.00253255	-0.000401464
0.042	0.042	1	0.00902122	-8.03697e-05	0.000869523	-0.0196824	8.23694e-05	-4.08563e-05	0.216345	0	0.0394414	-0.351348	0.00214712	0.000145022
0.044	0.044	1	0.00941969	-8.83317e-05	0.000953694	-0.0206119	7.24634e-05	-4.09474e-05	0.199236	-0.00398099	0.0420853	-0.325347	-0.00346039	1.28511e-05
0.046	0.046	1	0.00981145	-9.70296e-05	0.00104154	-0.0215359	5.81621e-05	-4.00228e-05	0.195877	-0.00434898	0.0439255	-0.323403	-0.00499517	0.000383358
0.048	0.048	1	0.0102419	-9.70296e-05	0.00113182	-0.0225393	6.42693e-05	-3.96074e-05	0.215229	0	0.0451362	-0.35119	0.002146	0.000132494
0.05	0.05	1	0.0106279	-0.000106025	0.00122701	-0.0234618	4.64664e-05	-3.77069e-05	0.192982	-0.0044976	0.047597	-0.322845	-0.00621683	0.000741549
0.052	0.052	1	0.0110088	-0.000115315	0.00132573	-0.0243827	2.52963e-05	-3.48863e-05	0.190471	-0.00464525	0.0493589	-0.322334	-0.00739161	0.00107681
0.054	0.054	1	0.0114367	-0.000115315	0.00142733	-0.0253856	3.13983e-05	-3.44963e-05	0.213963	0	0.0507996	-0.35101	0.0021433	0.000114827
0.056	0.056	1	0.0118117	-0.000124902	0.00153331	-0.0263041	7.05563e-06	-3.07848e-05	0.187481	-0.0047935	0.0529926	-0.321487	-0.00849758	0.00140676
0.058	0.058	1	0.0121796	-0.000134973	0.00164267	-0.0272113	-1.654e-05	-2.46453e-05	0.183937	-0.00503519	0.054679	-0.317504	-0.00822542	0.00225319
0.06	0.06	1	0.0125428	-0.000145163	0.00175519	-0.0281206	-3.91976e-05	-1.57767e-05	0.181628	-0.00509496	0.0562614	-0.318251	-0.00788463	0.0032039
0.062	0.062	1	0.0129669	-0.000145163	0.00187178	-0.0291227	-3.31094e-05	-1.54307e-05	0.212043	0	0.058295	-0.350737	0.00213501	8.42314e-05
0.064	0.064	1	0.0133177	-0.000156628	0.00199105	-0.030024	-6.15391e-05	-3.26705e-06	0.175368	-0.00573261	0.0596351	-0.315451	-0.00988676	0.0043904
0.066	0.066	1	0.0136645	-0.00016816	0.00211342	-0.0309283	-9.30544e-05	1.01575e-05	0.17342	-0.00576623	0.0611816	-0.316516	-0.0109601	0.00484727
0.068	0.068	1	0.0140854	-0.00016816	0.00224116	-0.0319297	-8.69827e-05	1.04679e-05	0.210431	0	0.0638698	-0.350507	0.00212448	5.94593e-05
0.07	0.07	1	0.0144188	-0.000181034	0.00237011	-0.0328263	-0.000125948	2.58969e-05	0.166727	-0.00643672	0.0644755	-0.313792	-0.0135539	0.00559558
0.072	0.072	1	0.014744	-0.000194615	0.002502	-0.0337207	-0.000170332	4.21892e-05	0.162577	-0.00679085	0.0659464	-0.313032	-0.0154452	0.00592786
0.074	0.074	1	0.0151613	-0.000194615	0.0026408	-0.0347214	-0.00016428	4.24523e-05	0.208673	0	0.0694001	-0.350255	0.00211148	2.66101e-05
