t_real	tv	d_tv	f_C_x	f_C_y	f_C_z	tau_C_x	tau_C_y	tau_C_z	Fa_0x	Fa_0y	Fa_0z	Fa_1x	Fa_1y	Fa_1z	Fa_2x	Fa_2y	Fa_2z	Fa_3x	Fa_3y	Fa_3z
0.002	0	1	-0.2419	0	128.379	0.138563	-0.32298	4.21539e-06	-0.0605711	-5.8115e-05	33.1459	-0.0602823	-7.21078e-06	33.5914	-0.0604797	5.04382e-05	30.5925	-0.0605664	1.48876e-05	31.0492
0.004	0	1	-0.484517	0.000711258	128.376	5.18146	-0.265891	-0.00275226	-0.12329	-0.00319622	24.0417	-0.118947	-0.0010068	42.6234	-0.123113	0.00322846	21.4957	-0.119168	0.00168582	40.2151
0.006	0	1	-0.726479	0.00142103	128.37	0.166824	-0.323619	-0.000113436	-0.181793	4.62249e-05	33.3149	-0.181316	4.1385e-05	33.8508	-0.181704	0.000722264	30.3278	-0.181665	0.000611155	30.8769
0.008	0	1	-0.968266	0.00142103	128.363	0.18187	-0.323631	1.65325e-05	-0.242197	9.80398e-05	33.391	-0.241794	9.36677e-05	33.9856	-0.242104	0.000675588	30.1888	-0.242171	0.000553733	30.7976
0.01	0	1	-1.20895	0.0033851	128.353	0.187638	-0.323951	1.5787e-05	-0.302057	0.000107336	33.5322	-0.302266	-0.000214801	34.0543	-0.301958	0.00196182	30.1149	-0.302673	0.00153075	30.6515
0.012	0	1	-1.44861	0.00759227	128.34	0.201228	-0.324288	9.48478e-05	-0.361891	0.00105223	33.6192	-0.362242	0.000656787	34.1748	-0.361792	0.00319777	29.9877	-0.362682	0.00268549	30.5587
0.014	0	1	-1.69011	0.00759227	128.327	0.216273	-0.324253	0.000135014	-0.422283	0.000971525	33.6934	-0.422594	0.00053372	34.3078	-0.422177	0.00332708	29.8473	-0.423059	0.00275995	30.478
0.016	0	1	-1.92847	0.0120685	128.31	0.230478	-0.324668	0.000230711	-0.481806	0.00201699	33.7747	-0.482236	0.00151386	34.4307	-0.481697	0.00458971	29.7154	-0.48273	0.00394798	30.3888
0.018	0	1	-2.16539	0.0167874	128.291	0.244643	-0.324941	0.000399636	-0.541275	0.00412794	33.7847	-0.541142	0.00411967	34.6141	-0.541566	0.00427139	29.5215	-0.541408	0.00426837	30.3702
0.02	0	1	-2.40132	0.0212578	128.269	0.258821	-0.325163	0.000607728	-0.600118	0.00532757	33.8635	-0.600259	0.00527122	34.7342	-0.600413	0.00535492	29.3903	-0.600531	0.00530413	30.2813
0.022	0	1	-2.64219	0.0212578	128.247	0.273862	-0.325138	0.000554393	-0.660405	0.00522442	33.9353	-0.660398	0.00516301	34.8647	-0.660711	0.00546327	29.2481	-0.660679	0.00540714	30.1988
0.024	0	1	-2.87672	0.0257266	128.221	0.288024	-0.325487	0.000859233	-0.718839	0.00649136	34.0126	-0.719232	0.00637407	34.9831	-0.719141	0.00648625	29.1165	-0.71951	0.0063749	30.1093
0.026	0	1	-3.1096	0.0304403	128.194	0.302138	-0.325696	0.00117162	-0.776859	0.00781293	34.0887	-0.777668	0.00763209	35.0993	-0.777143	0.00758483	28.986	-0.77793	0.00741048	30.0198
0.028	0	1	-3.34937	0.0306883	128.165	0.317128	-0.325647	0.00103956	-0.836921	0.00769154	34.1588	-0.837488	0.00749466	35.2272	-0.837209	0.00784673	28.8433	-0.837751	0.00765541	29.9358
0.03	0	1	-3.58095	0.0351494	128.133	0.33123	-0.325968	0.00147344	-0.894542	0.00903706	34.2333	-0.895681	0.00876863	35.3419	-0.894805	0.0088028	28.7121	-0.895922	0.00854095	29.8459
