t_real	tv	d_tv	W_0x	W_0y	W_0z	W_1x	W_1y	W_1z	W_2x	W_2y	W_2z	W_3x	W_3y	W_3z
0.002	0.002	1	35	35	35	35	35	35	35	35	35	35	35	35
0.004	0.004	1	35	35	35	35	35	35	35	35	35	35	35	35
0.006	0.006	1	35	35	35	35	35	35	35	35	35	35	35	35
0.008	0.008	1	35	35	35	35	35	35	35	35	35	35	35	35
0.01	0.01	1	35	35	35	35	35	35	35	35	35	35	35	35
0.012	0.012	1	35	35	35	35	35	35	35	35	35	35	35	35
0.014	0.014	1	35	35	35	35	35	35	35	35	35	35	35	35
0.016	0.016	1	35	35	35	35	35	35	35	35	35	35	35	35
0.018	0.018	1	35	35	35	35	35	35	35	35	35	35	35	35
0.02	0.02	1	35	35	35	35	35	35	35	35	35	35	35	35
0.022	0.022	1	35	35	35	35	35	35	35	35	35	35	35	35
0.024	0.024	1	35	35	35	35	35	35	35	35	35	35	35	35
0.026	0.026	1	35	35	35	35	35	35	35	35	35	35	35	35
0.028	0.028	1	35	35	35	35	35	35	35	35	35	35	35	35
0.03	0.03	1	35	35	35	35	35	35	35	35	35	35	35	35
0.032	0.032	1	35	35	35	35	35	35	35	35	35	35	35	35
0.034	0.034	1	35	35	35	35	35	35	35	35	35	35	35	35
0.036	0.036	1	35	35	35	35	35	35	35	35	35	35	35	35
0.038	0.038	1	35	35	35	35	35	35	35	35	35	35	35	35
0.04	0.04	1	35	35	35	35	35	35	35	35	35	35	35	35
0.042	0.042	1	35	35	35	35	35	35	35	35	35	35	35	35
0.044	0.044	1	35	35	35	35	35	35	35	35	35	35	35	35
0.046	0.046	1	35	35	35	35	35	35	35	35	35	35	35	35
0.048	0.048	1	35	35	35	35	35	35	35	35	35	35	35	35
0.05	0.05	1	35	35	35	35	35	35	35	35	35	35	35	35
0.052	0.052	1	35	35	35	35	35	35	35	35	35	35	35	35
0.054	0.054	1	35	35	35	35	35	35	35	35	35	35	35	35
0.056	0.056	1	35	35	35	35	35	35	35	35	35	35	35	35
0.058	0.058	1	35	35	35	35	35	35	35	35	35	35	35	35
0.06	0.06	1	35	35	35	35	35	35	35	35	35	35	35	35
0.062	0.062	1	35	35	35	35	35	35	35	35	35	35	35	35
0.064	0.064	1	35	35	35	35	35	35	35	35	35	35	35	35
0.066	0.066	1	35	35	35	35	35	35	35	35	35	35	35	35
0.068	0.068	1	35	35	35	35	35	35	35	35	35	35	35	35
0.07	0.07	1	35	35	35	35	35	35	35	35	35	35	35	35
0.072	0.072	1	35	35	35	35	35	35	35	35	35	35	35	35
0.074	0.074	1	35	35	35	35	35	35	35	35	35	35	35	35
0.076	0.076	1	35	35	35	35	35	35	35	35	35	35	35	35
0.078	0.078	1	35	35	35	35	35	35	35	35	35	35	35	35
0.08	0.08	1	35	35	35	35	35	35	35	35	35	35	35	35
0.082	0.082	1	35	35	35	35	35	35	35	35	35	35	35	35
0.084	0.084	1	35	35	35	35	35	35	35	35	35	35	35	35
0.086	0.086	1	35	35	35	35	35	35	35	35	35	35	35	35
0.088	0.088	1	35	35	35	35	35	35	35	35	35	35	35	35
0.09	0.09	1	35	35	35	35	35	35	35	35	35	35	35	35
0.092	0.092	1	35	35	35	35	35	35	35	35	35	35	35	35
0.094	0.094	1	35	35	35	35	35	35	35	35	35	35	35	35
0.096	0.096	1	35	35	35	35	35	35	35	35	35	35	35	35
0.098	0.098	1	35	35	35	35	35	35	35	35	35	35	35	35
0.1	0.1	1	35	35	35	35	35	35	35	35	35	35	35	35
0.102	0.102	1	35	35	35	35	35	35	35	35	35	35	35	35
0.104	0.104	1	35	35	35	35	35	35	35	35	35	35	35	35
0.106	0.106	1	35	35	35	35	35	35	35	35	35	35	35	35
0.108	0.108	1	35	35	35	35	35	35	35	35	35	35	35	35
0.11	0.11	1	35	35	35	35	35	35	35	35	35	35	35	35
0.112	0.112	1	35	35	35	35	35	35	35	35	35	35	35	35
0.114	0.114	1	35	35	35	35	35	35	35	35	35	35	35	35
0.116	0.116	1	35	35	35	35	35	35	35	35	35	35	35	35
0.118	0.118	1	35	35	35	35	35	35	35	35	35	35	35	35
