t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000125663,0,0,0,8.67362e-19,-3.46902e-18,-0.0630472,-0.000168064,0.000422419,0.000290027,0.000501681,6.39628e-05,35,35,35,35,35,35,35,35,35,35,35,35,-0.0847767,-0.00416604,0.327346,-0.0846511,-0.00416604,0.327346,1,1,1,1
0.004,0,1,-0.000250532,-5.90281e-07,1.69036e-08,5.11484e-07,-3.91859e-07,7.37077e-07,-0.0630876,-0.000171232,0.00061615,0.000618086,0.000675372,5.34196e-05,35.0007,35.0007,35.0007,35,35,35,35,35,35,35,35,35,-0.0847759,-0.00416663,0.327346,-0.0845254,-0.00416604,0.327346,1,1,1,1
0.006,0,1,-0.000375734,-1.08627e-06,4.9178e-07,5.5969e-06,-1.02574e-06,-4.30736e-07,-0.0631848,-0.00015716,0.000647844,0.00157864,0.00046623,-0.000468765,35.0013,35.0013,35.0013,35,35,35,35,35,35,35,35,35,-0.0847755,-0.00416712,0.327347,-0.0843997,-0.00416604,0.327346,1,1,1,1
0.008,0,1,-0.000501367,-1.08627e-06,4.9178e-07,5.5969e-06,-1.02574e-06,-4.30736e-07,-0.0631774,-0.00015716,0.000647844,0.00157864,0.00046623,-0.000468765,35.002,35.002,35.002,35,35,35,35,35,35,35,35,35,-0.0847755,-0.00416712,0.327347,-0.0842741,-0.00416604,0.327346,1,1,1,1
0.01,0,1,-0.00062685,-1.57508e-06,1.36115e-06,9.37797e-06,-2.51882e-06,-3.62133e-06,-0.0632301,-0.00013314,0.000693136,0.00315412,3.33353e-05,-0.000779279,35.0027,35.0027,35.0027,35,35,35,35,35,35,35,35,35,-0.0847753,-0.00416761,0.327347,-0.0841485,-0.00416604,0.327346,1,1,1,1
0.012,0,1,-0.000752479,-2.00767e-06,2.36575e-06,1.47891e-05,-4.77593e-06,-7.45363e-06,-0.06324,-0.000122827,0.000727578,0.0035348,-0.000125369,-0.000905528,35.0033,35.0033,35.0033,35,35,35,35,35,35,35,35,35,-0.0847754,-0.00416804,0.327348,-0.0840229,-0.00416604,0.327346,1,1,1,1
0.014,0,1,-0.000878127,-2.4271e-06,3.57856e-06,2.09738e-05,-7.48949e-06,-1.19091e-05,-0.0632299,-0.000107552,0.000778929,0.00340461,-8.7051e-05,-0.000991701,35.004,35.004,35.004,35,35,35,35,35,35,35,35,35,-0.0847755,-0.00416846,0.32735,-0.0838974,-0.00416604,0.327346,1,1,1,1
0.016,0,1,-0.00100365,-2.4271e-06,3.57856e-06,2.09738e-05,-7.48949e-06,-1.19091e-05,-0.0632125,-0.000107552,0.000778929,0.00340461,-8.7051e-05,-0.000991701,35.0047,35.0047,35.0047,35,35,35,35,35,35,35,35,35,-0.0847755,-0.00416846,0.32735,-0.0837718,-0.00416604,0.327346,1,1,1,1
0.018,0,1,-0.00112919,-2.79198e-06,4.95117e-06,2.67833e-05,-9.89545e-06,-1.66377e-05,-0.0631809,-8.32406e-05,0.000835592,0.00312025,0.000102065,-0.00109843,35.0053,35.0053,35.0053,35,35,35,35,35,35,35,35,35,-0.0847755,-0.00416883,0.327351,-0.0836463,-0.00416604,0.327346,1,1,1,1
0.02,0,1,-0.00125455,-3.06065e-06,6.27343e-06,3.16744e-05,-1.18221e-05,-2.10682e-05,-0.0631062,-6.85128e-05,0.00084803,0.00315539,7.75141e-05,-0.00111318,35.006,35.006,35.006,35,35,35,35,35,35,35,35,35,-0.0847755,-0.0041691,0.327352,-0.0835209,-0.00416604,0.327346,1,1,1,1
0.022,0,1,-0.00137994,-3.06065e-06,6.27343e-06,3.16744e-05,-1.18221e-05,-2.10682e-05,-0.0630814,-6.85128e-05,0.00084803,0.00315539,7.75141e-05,-0.00111318,35.0067,35.0067,35.0067,35,35,35,35,35,35,35,35,35,-0.0847755,-0.0041691,0.327352,-0.0833955,-0.00416604,0.327346,1,1,1,1
0.024,0,1,-0.00150496,-3.30292e-06,7.6917e-06,3.71344e-05,-1.41415e-05,-2.5719e-05,-0.0629738,-5.90046e-05,0.000845888,0.00323255,1.47907e-05,-0.00108889,35.0073,35.0073,35.0073,35,35,35,35,35,35,35,35,35,-0.0847751,-0.00416934,0.327354,-0.0832702,-0.00416604,0.327346,1,1,1,1
0.026,0,1,-0.00162953,-3.53298e-06,9.16938e-06,4.32559e-05,-1.68534e-05,-3.04074e-05,-0.0628356,-5.35086e-05,0.000842206,0.0032642,5.16216e-06,-0.00104297,35.008,35.008,35.008,35,35,35,35,35,35,35,35,35,-0.0847744,-0.00416957,0.327355,-0.0831449,-0.00416604,0.327346,1,1,1,1
0.028,0,1,-0.00175474,-3.53298e-06,9.16938e-06,4.32559e-05,-1.68534e-05,-3.04074e-05,-0.0628034,-5.35086e-05,0.000842206,0.0032642,5.16216e-06,-0.00104297,35.0087,35.0087,35.0087,35,35,35,35,35,35,35,35,35,-0.0847744,-0.00416957,0.327355,-0.0830197,-0.00416604,0.327346,1,1,1,1
0.03,0,1,-0.00187866,-3.76013e-06,1.07115e-05,4.993e-05,-1.95556e-05,-3.50493e-05,-0.0626359,-5.03666e-05,0.000842728,0.00328882,8.82075e-05,-0.000991169,35.0093,35.0093,35.0093,35,35,35,35,35,35,35,35,35,-0.0847732,-0.0041698,0.327357,-0.0828945,-0.00416604,0.327346,1,1,1,1
0.032,0,1,-0.00200203,-3.96521e-06,1.21979e-05,5.62699e-05,-2.1598e-05,-3.91752e-05,-0.0624524,-4.85122e-05,0.000851551,0.00333024,0.000180727,-0.000934382,35.01,35.01,35.01,35,35,35,35,35,35,35,35,35,-0.0847715,-0.00417,0.327358,-0.0827695,-0.00416604,0.327346,1,1,1,1
0.034,0,1,-0.00212702,-3.96521e-06,1.21979e-05,5.62699e-05,-2.1598e-05,-3.91752e-05,-0.0624127,-4.85122e-05,0.000851551,0.00333024,0.000180727,-0.000934382,35.0107,35.0107,35.0107,35,35,35,35,35,35,35,35,35,-0.0847715,-0.00417,0.327358,-0.0826445,-0.00416604,0.327346,1,1,1,1
0.036,0,1,-0.00224977,-4.15105e-06,1.36639e-05,6.22667e-05,-2.298e-05,-4.28456e-05,-0.0622121,-4.58988e-05,0.000870194,0.00330631,0.000289461,-0.000893762,35.0113,35.0113,35.0113,35,35,35,35,35,35,35,35,35,-0.0847694,-0.00417019,0.32736,-0.0825196,-0.00416604,0.327346,1,1,1,1
0.038,0,1,-0.00237184,-4.32684e-06,1.52137e-05,6.81838e-05,-2.37929e-05,-4.63158e-05,-0.0620002,-4.3603e-05,0.00089736,0.00330718,0.000422296,-0.000854531,35.012,35.012,35.012,35,35,35,35,35,35,35,35,35,-0.0847666,-0.00417036,0.327361,-0.0823948,-0.00416604,0.327346,1,1,1,1
0.04,0,1,-0.00249656,-4.32684e-06,1.52137e-05,6.81838e-05,-2.37929e-05,-4.63158e-05,-0.0619531,-4.3603e-05,0.00089736,0.00330718,0.000422296,-0.000854531,35.0127,35.0127,35.0127,35,35,35,35,35,35,35,35,35,-0.0847666,-0.00417036,0.327361,-0.08227,-0.00416604,0.327346,1,1,1,1
0.042,0,1,-0.00261763,-4.50314e-06,1.69595e-05,7.44302e-05,-2.37091e-05,-4.9786e-05,-0.0617323,-4.07851e-05,0.000928482,0.00326682,0.000613302,-0.00082422,35.0133,35.0133,35.0133,35,35,35,35,35,35,35,35,35,-0.0847631,-0.00417054,0.327363,-0.0821454,-0.00416604,0.327346,1,1,1,1
0.044,0,1,-0.00273796,-4.67503e-06,1.88121e-05,8.07362e-05,-2.26203e-05,-5.30606e-05,-0.0615098,-4.21914e-05,0.000951339,0.00329425,0.000683542,-0.00077588,35.014,35.014,35.014,35,35,35,35,35,35,35,35,35,-0.0847589,-0.00417071,0.327365,-0.0820209,-0.00416604,0.327346,1,1,1,1
