t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000125663,0,0,0,0,-1.73472e-18,-0.0630105,-0.000109931,0.000450791,-0.00225626,0.000610341,-9.30574e-05,35,35,35,35,35,35,35,35,35,35,35,35,-0.0834092,-0.00194738,0.327559,-0.0832835,-0.00194738,0.327559,1,1,1,1
0.004,0,1,-0.000250453,-3.68576e-07,3.386e-07,-1.05653e-05,1.09565e-06,-1.38161e-06,-0.0631006,-0.000133742,0.000613257,-0.00202719,0.000564363,-0.000411264,35.0007,35.0007,35.0007,35,35,35,35,35,35,35,35,35,-0.0834083,-0.00194775,0.32756,-0.0831579,-0.00194738,0.327559,1,1,1,1
0.006,0,1,-0.000376101,-3.68576e-07,3.386e-07,-1.05653e-05,1.09565e-06,-1.38161e-06,-0.0630956,-0.000133742,0.000613257,-0.00202719,0.000564363,-0.000411264,35.0013,35.0013,35.0013,35,35,35,35,35,35,35,35,35,-0.0834083,-0.00194775,0.32756,-0.0830322,-0.00194738,0.327559,1,1,1,1
0.008,0,1,-0.000501337,-7.18318e-07,1.18544e-06,-1.16051e-05,1.76751e-06,-4.11236e-06,-0.0632123,-0.000117333,0.000802443,0.000923675,0.000458062,-0.000526349,35.002,35.002,35.002,35,35,35,35,35,35,35,35,35,-0.0834079,-0.0019481,0.32756,-0.0829066,-0.00194738,0.327559,1,1,1,1
0.01,0,1,-0.000626963,-1.06687e-06,2.8533e-06,-6.63695e-06,1.59844e-06,-7.00364e-06,-0.0632949,-0.000108768,0.000958905,0.0032733,0.00016324,-0.000594282,35.0027,35.0027,35.0027,35,35,35,35,35,35,35,35,35,-0.0834079,-0.00194845,0.327562,-0.082781,-0.00194738,0.327559,1,1,1,1
0.012,0,1,-0.000752551,-1.06687e-06,2.8533e-06,-6.63695e-06,1.59844e-06,-7.00364e-06,-0.0632825,-0.000108768,0.000958905,0.0032733,0.00016324,-0.000594282,35.0033,35.0033,35.0033,35,35,35,35,35,35,35,35,35,-0.0834079,-0.00194845,0.327562,-0.0826554,-0.00194738,0.327559,1,1,1,1
0.014,0,1,-0.000878367,-1.47659e-06,5.14428e-06,6.94211e-07,-5.33111e-07,-9.85437e-06,-0.0633318,-9.69528e-05,0.00110653,0.00493644,4.14286e-05,-0.000674594,35.004,35.004,35.004,35,35,35,35,35,35,35,35,35,-0.0834082,-0.00194886,0.327564,-0.0825298,-0.00194738,0.327559,1,1,1,1
0.016,0,1,-0.00100431,-1.91108e-06,7.97379e-06,1.13392e-05,-4.09085e-06,-1.30915e-05,-0.063368,-9.46193e-05,0.00124566,0.00578218,0.000109753,-0.000706081,35.0047,35.0047,35.0047,35,35,35,35,35,35,35,35,35,-0.0834086,-0.0019493,0.327567,-0.0824043,-0.00194738,0.327559,1,1,1,1
0.018,0,1,-0.00113039,-2.3672e-06,1.12801e-05,2.25684e-05,-7.66465e-06,-1.66155e-05,-0.0634031,-0.000103973,0.0013793,0.00581729,-6.77792e-06,-0.000739891,35.0053,35.0053,35.0053,35,35,35,35,35,35,35,35,35,-0.0834092,-0.00194975,0.327571,-0.0822788,-0.00194738,0.327559,1,1,1,1
0.02,0,1,-0.00125583,-2.3672e-06,1.12801e-05,2.25684e-05,-7.66465e-06,-1.66155e-05,-0.0633808,-0.000103973,0.0013793,0.00581729,-6.77792e-06,-0.000739891,35.006,35.006,35.006,35,35,35,35,35,35,35,35,35,-0.0834092,-0.00194975,0.327571,-0.0821534,-0.00194738,0.327559,1,1,1,1
