t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000408403,0,6.67182e-07,0.00207343,2.94676e-06,4.45973e-06,-0.204463,-6.79001e-05,0.000776944,0.00194149,0.000445739,9.86124e-05,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881268,-0.0164153,0.327004,-0.0877184,-0.0164153,0.327003,1,1,1,1
0.004,0,1,-0.0008162,-2.88833e-07,2.60597e-06,0.00414798,5.60288e-06,9.87272e-06,-0.204503,-7.28827e-05,0.00163615,0.727061,0.00188904,0.0016439,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881263,-0.0164156,0.327004,-0.0873101,-0.0164153,0.327001,1,1,1,1
0.006,0,1,-0.00122422,-1.07707e-06,6.33941e-06,0.00592747,2.58089e-06,1.34531e-05,-0.204418,-0.000588383,0.00252702,0.47498,-0.00188817,-0.000410116,35,35,35,35,35,35,35,35,35,35,35,35,-0.088126,-0.0164164,0.327004,-0.0869017,-0.0164153,0.326998,1,1,1,1
0.008,0,1,-0.00163246,-1.07707e-06,1.10091e-05,0.00800028,5.5275e-06,1.79176e-05,-0.204377,-0.000588383,0.003194,0.474872,-0.00188832,-0.000410349,35,35,35,35,35,35,35,35,35,35,35,35,-0.088126,-0.0164164,0.327004,-0.0864935,-0.0164153,0.326993,1,1,1,1
0.01,0,1,-0.0020398,2.75434e-07,1.77428e-05,0.00827205,-2.20261e-05,2.39172e-05,-0.204123,0.00206402,0.00347871,0.486936,-0.00563859,0.00503113,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881252,-0.016415,0.327005,-0.0860854,-0.0164153,0.326987,1,1,1,1
0.012,0,1,-0.00244618,1.33333e-05,2.42881e-05,0.00960316,-6.09145e-05,6.14531e-05,-0.203832,0.0043799,0.00393377,0.658276,-0.00743198,0.00930426,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881235,-0.016402,0.327004,-0.0856774,-0.0164153,0.32698,1,1,1,1
0.014,0,1,-0.00285188,3.07185e-05,3.1873e-05,0.0115268,-0.000103839,0.000111079,-0.203622,0.00492647,0.0045598,0.705847,-0.00855155,0.0106976,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881214,-0.0163846,0.327003,-0.0852695,-0.0164153,0.326971,1,1,1,1
0.016,0,1,-0.00325939,3.17076e-05,4.18144e-05,0.0135928,-0.000103493,0.000118274,-0.20352,0.0049223,0.00523127,0.705915,-0.00863286,0.0107318,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881213,-0.0163836,0.327003,-0.0848619,-0.0164153,0.326961,1,1,1,1
0.018,0,1,-0.00366408,5.03096e-05,5.21818e-05,0.0155867,-0.000154749,0.00017446,-0.2033,0.00482314,0.00595543,0.709048,-0.00967925,0.0114043,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881186,-0.016365,0.327002,-0.0844545,-0.0164153,0.32695,1,1,1,1
0.02,0,1,-0.00406812,6.84982e-05,6.41654e-05,0.0175896,-0.00021076,0.000234038,-0.20308,0.00471288,0.00667128,0.710385,-0.0103837,0.0120077,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881154,-0.0163468,0.327001,-0.0840473,-0.0164153,0.326937,1,1,1,1
0.022,0,1,-0.00447502,6.84982e-05,7.8159e-05,0.0196574,-0.000207619,0.00023873,-0.202944,0.00471288,0.00733623,0.710024,-0.0103842,0.0120068,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881154,-0.0163468,0.327001,-0.0836404,-0.0164153,0.326923,1,1,1,1
0.024,0,1,-0.00487832,8.53289e-05,9.31007e-05,0.0216656,-0.000263821,0.000298307,-0.202709,0.00460871,0.00805945,0.710601,-0.0109041,0.0125417,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881121,-0.01633,0.327001,-0.0832338,-0.0164153,0.326908,1,1,1,1
0.026,0,1,-0.00528078,0.000102672,0.000109637,0.0236709,-0.000326165,0.000363681,-0.202462,0.00450256,0.00879362,0.711009,-0.0113193,0.0130828,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881083,-0.0163126,0.327001,-0.0828275,-0.0164153,0.326891,1,1,1,1
0.028,0,1,-0.0056867,0.000102672,0.000127614,0.0257349,-0.00032291,0.000368493,-0.202285,0.00450256,0.00945704,0.710539,-0.0113201,0.0130816,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881083,-0.0163126,0.327001,-0.0824216,-0.0164153,0.326873,1,1,1,1
0.03,0,1,-0.00608813,0.000119599,0.0001471,0.0277388,-0.000387497,0.000436615,-0.202019,0.00440056,0.0101921,0.710695,-0.0116557,0.0135991,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881042,-0.0162957,0.327001,-0.082016,-0.0164153,0.326854,1,1,1,1
0.032,0,1,-0.0064891,0.000135274,0.000168164,0.0297461,-0.000450162,0.000503823,-0.201748,0.00430566,0.0109248,0.710418,-0.0119197,0.0140712,35,35,35,35,35,35,35,35,35,35,35,35,-0.0881,-0.01628,0.327001,-0.0816109,-0.0164153,0.326833,1,1,1,1
