t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000408403,0,6.67182e-07,0.00207337,1.48579e-05,3.12396e-06,-0.204435,-5.0413e-05,0.000764461,0.00062997,0.000281658,0.000110195,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802333,0.00183806,0.327507,-0.0798249,0.00183806,0.327507,1,1,1,1
0.004,0,1,-0.000816778,0,2.66868e-06,0.00414664,2.97151e-05,6.24775e-06,-0.204422,-5.0413e-05,0.00143162,0.726273,0.00548165,0.00120352,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802333,0.00183806,0.327507,-0.0794165,0.00183806,0.327505,1,1,1,1
0.006,0,1,-0.00122453,-1.90322e-07,6.34692e-06,0.00618522,4.51965e-05,1.07712e-05,-0.204459,-0.000236515,0.00247403,0.641856,0.00468954,0.000804981,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802327,0.00183787,0.327508,-0.0790082,0.00183806,0.327501,1,1,1,1
0.008,0,1,-0.00163241,-5.00769e-07,1.28897e-05,0.00698067,4.46536e-05,1.21483e-05,-0.204411,0.00101798,0.00338674,0.489587,0.0028704,0.0026773,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802324,0.00183756,0.327509,-0.0786,0.00183806,0.327497,1,1,1,1
0.01,0,1,-0.00204051,-2.55839e-07,1.89993e-05,0.00898942,5.87852e-05,1.58435e-05,-0.204353,0.00119744,0.00404529,0.501378,0.00301573,0.00294564,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802323,0.0018378,0.32751,-0.0781918,0.00183806,0.327491,1,1,1,1
0.012,0,1,-0.00244772,9.61742e-06,2.82437e-05,0.0103551,6.55458e-05,3.93593e-05,-0.20418,0.00352628,0.00467553,0.659565,0.00506894,0.00600357,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802316,0.00184768,0.327511,-0.0777838,0.00183806,0.327483,1,1,1,1
0.014,0,1,-0.00285555,9.61742e-06,3.6913e-05,0.0124263,8.04126e-05,4.24889e-05,-0.204098,0.00352628,0.00534191,0.659346,0.00506737,0.00600324,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802316,0.00184768,0.327511,-0.077376,0.00183806,0.327474,1,1,1,1
0.016,0,1,-0.00326179,2.50818e-05,4.89797e-05,0.0143487,9.441e-05,7.56199e-05,-0.203786,0.00421327,0.00608662,0.70757,0.0055379,0.00663516,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802302,0.00186314,0.327513,-0.0769684,0.00183806,0.327464,1,1,1,1
0.018,0,1,-0.00366921,2.50818e-05,6.03127e-05,0.0164183,0.000109297,7.8747e-05,-0.203678,0.00421327,0.00675237,0.707279,0.0055358,0.00663472,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802302,0.00186314,0.327513,-0.0765609,0.00183806,0.327453,1,1,1,1
0.02,0,1,-0.00407409,4.03784e-05,7.53761e-05,0.0184116,0.000122961,0.000109471,-0.203235,0.00421279,0.00756704,0.706543,0.0052535,0.00632147,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802279,0.00187844,0.327516,-0.0761538,0.00183806,0.32744,1,1,1,1
0.022,0,1,-0.00447713,5.65545e-05,9.2339e-05,0.0203956,0.000135265,0.000140177,-0.202654,0.00425162,0.00830835,0.704482,0.0048585,0.00599522,35,35,35,35,35,35,35,35,35,35,35,35,-0.080224,0.00189461,0.327519,-0.0757469,0.00183806,0.327427,1,1,1,1
0.024,0,1,-0.00488374,5.65545e-05,0.000107662,0.022462,0.000150186,0.000143302,-0.202504,0.00425162,0.00897284,0.704083,0.00485559,0.00599462,35,35,35,35,35,35,35,35,35,35,35,35,-0.080224,0.00189461,0.327519,-0.0753403,0.00183806,0.327411,1,1,1,1
0.026,0,1,-0.00528429,7.3106e-05,0.000127706,0.0244387,0.000161803,0.000172247,-0.201792,0.00439031,0.00973768,0.702617,0.00483262,0.00559128,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802183,0.00191116,0.327522,-0.074934,0.00183806,0.327395,1,1,1,1
0.028,0,1,-0.00569022,7.3106e-05,0.000145684,0.0265026,0.000176733,0.000175371,-0.201615,0.00439031,0.0104011,0.702145,0.00482917,0.00559056,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802183,0.00191116,0.327522,-0.0745281,0.00183806,0.327377,1,1,1,1
0.03,0,1,-0.00608776,9.0309e-05,0.000168768,0.0284751,0.000188246,0.0002029,-0.200786,0.00457839,0.0111656,0.701315,0.00484584,0.00545536,35,35,35,35,35,35,35,35,35,35,35,35,-0.0802103,0.00192837,0.327526,-0.0741225,0.00183806,0.327357,1,1,1,1
0.032,0,1,-0.00648227,0.000108315,0.000193565,0.0304451,0.000200006,0.000230487,-0.19983,0.00481275,0.0119179,0.700578,0.0050506,0.00562032,35,35,35,35,35,35,35,35,35,35,35,35,-0.0801996,0.00194637,0.32753,-0.0737174,0.00183806,0.327337,1,1,1,1
0.034,0,1,-0.00688697,0.000108315,0.000215515,0.0325043,0.000214953,0.00023361,-0.199612,0.00481275,0.0125794,0.699998,0.00504634,0.00561943,35,35,35,35,35,35,35,35,35,35,35,35,-0.0801996,0.00194637,0.32753,-0.0733127,0.00183806,0.327315,1,1,1,1
0.036,0,1,-0.00727756,0.000127251,0.000243309,0.0344682,0.000227828,0.000262635,-0.198552,0.00506688,0.0133317,0.698731,0.00524564,0.00590761,35,35,35,35,35,35,35,35,35,35,35,35,-0.080186,0.00196531,0.327535,-0.0729084,0.00183806,0.327291,1,1,1,1
