t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0.002,1,-0.000408403,0,6.67182e-07,0.00207336,-1.76194e-05,-1.35573e-06,-0.204385,-0.000161363,0.000721899,-0.00416794,0.00046883,-0.000105122,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809953,-0.00481111,0.328072,-0.0805869,-0.00481111,0.328072,1,1,1,1
0.004,0.004,1,-0.000815849,-4.36994e-07,2.81089e-06,0.00414302,-3.44861e-05,-3.6063e-06,-0.204401,-0.000157181,0.00163379,0.722654,-0.00535083,-0.000641695,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809944,-0.00481154,0.328072,-0.0801785,-0.00481111,0.32807,1,1,1,1
0.006,0.006,1,-0.00122417,-4.36994e-07,6.14657e-06,0.00621607,-5.21037e-05,-4.96258e-06,-0.204374,-0.000157181,0.00230088,0.722582,-0.00535022,-0.000641648,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809944,-0.00481154,0.328072,-0.0797702,-0.00481111,0.328066,1,1,1,1
0.008,0.008,1,-0.0016318,-1.77516e-06,1.27295e-05,0.00758878,-6.51377e-05,-1.09698e-05,-0.204421,-0.000538927,0.00372893,0.35552,-0.00283709,-0.00238738,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809938,-0.00481288,0.328074,-0.079362,-0.00481111,0.328062,1,1,1,1
0.01,0.01,1,-0.00203908,3.01187e-06,2.2e-05,0.00828712,-7.64431e-05,-5.55242e-06,-0.204226,0.00278184,0.00425348,0.575452,-0.00624995,0.00234038,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809929,-0.00480809,0.328078,-0.0789538,-0.00481111,0.328056,1,1,1,1
0.012,0.012,1,-0.00244707,3.01187e-06,2.93365e-05,0.0103589,-9.40495e-05,-6.9009e-06,-0.204158,0.00278184,0.0049201,0.575272,-0.00624841,0.0023405,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809929,-0.00480809,0.328078,-0.0785458,-0.00481111,0.328048,1,1,1,1
0.014,0.014,1,-0.00285361,1.64963e-05,4.09173e-05,0.0120142,-0.000118207,1.19035e-05,-0.203934,0.00441576,0.0056445,0.690764,-0.00814714,0.00397627,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809916,-0.00479461,0.328081,-0.078138,-0.00481111,0.32804,1,1,1,1
0.016,0.016,1,-0.00325918,3.4082e-05,5.43851e-05,0.0139905,-0.00014664,3.5338e-05,-0.203603,0.00462907,0.00639754,0.706239,-0.00815742,0.00389988,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809896,-0.00477702,0.328084,-0.0777304,-0.00481111,0.32803,1,1,1,1
0.018,0.018,1,-0.0036666,3.4082e-05,6.57181e-05,0.0160601,-0.000164182,3.40135e-05,-0.203494,0.00462907,0.0070633,0.705949,-0.00815498,0.00390006,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809896,-0.00477702,0.328084,-0.077323,-0.00481111,0.328018,1,1,1,1
0.02,0.02,1,-0.00407063,5.16944e-05,8.23109e-05,0.0180431,-0.000191668,5.58388e-05,-0.203031,0.00461138,0.00785333,0.704869,-0.00785473,0.00360468,35,35,35,35,35,35,35,35,35,35,35,35,-0.0809864,-0.00475941,0.328088,-0.0769158,-0.00481111,0.328006,1,1,1,1
