t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000408403,0,6.67182e-07,0.00206989,-0.000121121,-1.94612e-06,-0.204339,-7.24565e-05,0.000788678,0.00155398,7.98466e-05,0.00015156,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745422,-0.0357718,0.32707,-0.0741338,-0.0357718,0.327069,1,1,1,1
0.004,0,1,-0.00081622,-4.86122e-07,2.87206e-06,0.00413948,-0.000241464,-3.4498e-06,-0.204457,-7.15714e-05,0.00164281,0.724282,-0.0418746,-0.000346071,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745417,-0.0357723,0.32707,-0.0737255,-0.0357718,0.327067,1,1,1,1
0.006,0,1,-0.00122454,-4.86122e-07,6.20775e-06,0.00620905,-0.000362566,-5.39641e-06,-0.20443,-7.15714e-05,0.00230991,0.724209,-0.0418703,-0.000346003,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745417,-0.0357723,0.32707,-0.0733171,-0.0357718,0.327064,1,1,1,1
0.008,0,1,-0.00163255,-1.97695e-06,1.22221e-05,0.00714198,-0.00038329,-8.93884e-06,-0.204252,-0.000185789,0.00353456,0.290682,-0.00528791,-0.000500914,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745414,-0.0357738,0.327072,-0.0729089,-0.0357718,0.327059,1,1,1,1
0.01,0,1,-0.00203903,5.25662e-06,1.94425e-05,0.00777709,-0.000401268,5.68417e-06,-0.203674,0.0035045,0.00366276,0.569256,-0.0358651,0.00433425,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745398,-0.0357666,0.327073,-0.0725008,-0.0357718,0.327053,1,1,1,1
0.012,0,1,-0.00244354,2.11038e-05,2.67961e-05,0.00942478,-0.000529349,3.5366e-05,-0.203145,0.00510454,0.00409148,0.692495,-0.0488276,0.00642777,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745363,-0.0357507,0.327073,-0.0720928,-0.0357718,0.327046,1,1,1,1
0.014,0,1,-0.00285137,2.11038e-05,3.54654e-05,0.0114925,-0.000650296,3.33991e-05,-0.203063,0.00510454,0.00475786,0.692277,-0.0488149,0.00642798,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745363,-0.0357507,0.327073,-0.0716849,-0.0357718,0.327037,1,1,1,1
0.016,0,1,-0.00325391,4.08481e-05,4.48482e-05,0.0134634,-0.000810338,7.06801e-05,-0.202656,0.0051736,0.00538201,0.705041,-0.0494824,0.00722462,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745312,-0.035731,0.327072,-0.0712773,-0.0357718,0.327027,1,1,1,1
0.018,0,1,-0.00365516,6.04449e-05,5.55584e-05,0.0154588,-0.000967658,0.000110794,-0.202268,0.0051262,0.00610962,0.707695,-0.0495384,0.00797488,35,35,35,35,35,35,35,35,35,35,35,35,-0.074525,-0.0357114,0.327072,-0.0708699,-0.0357718,0.327016,1,1,1,1
0.02,0,1,-0.00405519,7.99301e-05,6.78355e-05,0.0174679,-0.0011244,0.000155131,-0.201893,0.0051296,0.0068717,0.711516,-0.0494313,0.00871165,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745179,-0.0356919,0.327071,-0.0704627,-0.0357718,0.327003,1,1,1,1
0.022,0,1,-0.00446209,7.99301e-05,8.18292e-05,0.0195321,-0.00124501,0.000153297,-0.201757,0.0051296,0.00753665,0.711154,-0.0494102,0.00871195,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745179,-0.0356919,0.327071,-0.0700558,-0.0357718,0.326989,1,1,1,1
0.024,0,1,-0.00486064,9.94363e-05,9.70688e-05,0.0215534,-0.00140088,0.000201916,-0.201376,0.00515243,0.0083075,0.714789,-0.0493186,0.00945326,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745098,-0.0356724,0.327071,-0.0696492,-0.0357718,0.326974,1,1,1,1
0.026,0,1,-0.0052585,0.000117971,0.000114018,0.0235849,-0.00155351,0.00025184,-0.201014,0.00519221,0.00901794,0.717824,-0.0495708,0.0101155,35,35,35,35,35,35,35,35,35,35,35,35,-0.0745014,-0.0356538,0.327071,-0.0692429,-0.0357718,0.326957,1,1,1,1
0.028,0,1,-0.00565477,0.000137671,0.000132614,0.0256249,-0.0017079,0.0003085,-0.200634,0.00523638,0.00977618,0.719241,-0.0494377,0.0108281,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744918,-0.0356341,0.327072,-0.068837,-0.0357718,0.326939,1,1,1,1
0.03,0,1,-0.00604991,0.000157547,0.000152923,0.027671,-0.00186206,0.00036896,-0.200245,0.00527912,0.0105398,0.719885,-0.0492084,0.0115166,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744814,-0.0356143,0.327073,-0.0684314,-0.0357718,0.32692,1,1,1,1
0.032,0,1,-0.00645505,0.000157547,0.000173551,0.0297285,-0.00198205,0.000367277,-0.200041,0.00527912,0.0112019,0.719343,-0.0491769,0.011517,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744814,-0.0356143,0.327073,-0.0680263,-0.0357718,0.3269,1,1,1,1
0.034,0,1,-0.00684739,0.00017749,0.000196821,0.0317445,-0.00213462,0.000431144,-0.198966,0.00525527,0.0119035,0.703059,-0.0477342,0.0121986,35,35,35,35,35,35,35,35,35,35,35,35,-0.074469,-0.0355943,0.327074,-0.0676216,-0.0357718,0.326878,1,1,1,1
0.036,0,1,-0.00723578,0.00019771,0.000221608,0.0337073,-0.00228254,0.000498212,-0.197819,0.00539294,0.0126647,0.698044,-0.0466719,0.0127846,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744531,-0.0355741,0.327076,-0.0672174,-0.0357718,0.326854,1,1,1,1
0.038,0,1,-0.00762027,0.000218669,0.000248014,0.0356609,-0.00242693,0.000567824,-0.196682,0.00560461,0.0134055,0.697068,-0.0460418,0.0132261,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744339,-0.0355531,0.327078,-0.0668136,-0.0357718,0.32683,1,1,1,1
0.04,0,1,-0.0080235,0.000218669,0.000273924,0.0377112,-0.00254629,0.000566248,-0.196424,0.00560461,0.0140646,0.696383,-0.0460021,0.0132265,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744339,-0.0355531,0.327078,-0.0664104,-0.0357718,0.326804,1,1,1,1
0.042,0,1,-0.00840358,0.00024043,0.000303305,0.039659,-0.00268713,0.000638115,-0.195278,0.00581414,0.0148174,0.695296,-0.0453254,0.0136455,35,35,35,35,35,35,35,35,35,35,35,35,-0.0744113,-0.0355314,0.32708,-0.0660077,-0.0357718,0.326777,1,1,1,1
0.044,0,1,-0.00877979,0.000262984,0.000334383,0.0416026,-0.00282449,0.000712085,-0.194133,0.00602185,0.0155793,0.694168,-0.04464,0.0140424,35,35,35,35,35,35,35,35,35,35,35,35,-0.0743853,-0.0355088,0.327082,-0.0656056,-0.0357718,0.326748,1,1,1,1
0.046,0,1,-0.00918132,0.000262984,0.000364237,0.0436464,-0.00294332,0.000710567,-0.193835,0.00602185,0.0162358,0.693375,-0.0445942,0.0140428,35,35,35,35,35,35,35,35,35,35,35,35,-0.0743853,-0.0355088,0.327082,-0.065204,-0.0357718,0.326718,1,1,1,1
0.048,0,1,-0.00955307,0.000286322,0.000398356,0.0455834,-0.00307697,0.000786548,-0.192677,0.00622747,0.017004,0.69217,-0.0439063,0.014418,35,35,35,35,35,35,35,35,35,35,35,35,-0.0743562,-0.0354855,0.327085,-0.0648031,-0.0357718,0.326687,1,1,1,1
0.05,0,1,-0.00992098,0.000310439,0.000434232,0.0475158,-0.00320711,0.000864403,-0.191519,0.006432,0.0177804,0.690917,-0.0432063,0.0147687,35,35,35,35,35,35,35,35,35,35,35,35,-0.0743239,-0.0354614,0.327089,-0.0644029,-0.0357718,0.326655,1,1,1,1
0.052,0,1,-0.0102851,0.000335328,0.00047189,0.0494437,-0.00333376,0.000944016,-0.19036,0.00663474,0.0185619,0.689639,-0.0425132,0.0151005,35,35,35,35,35,35,35,35,35,35,35,35,-0.0742884,-0.0354365,0.327093,-0.0640033,-0.0357718,0.326621,1,1,1,1
0.054,0,1,-0.010684,0.000335328,0.000506975,0.0514775,-0.00345176,0.00094256,-0.190008,0.00663474,0.0192141,0.688705,-0.0424595,0.0151009,35,35,35,35,35,35,35,35,35,35,35,35,-0.0742884,-0.0354365,0.327093,-0.0636044,-0.0357718,0.326586,1,1,1,1
0.056,0,1,-0.0110435,0.000360983,0.000547735,0.0533979,-0.00357472,0.00102385,-0.188833,0.00683538,0.0199983,0.687352,-0.0417749,0.015416,35,35,35,35,35,35,35,35,35,35,35,35,-0.0742498,-0.0354108,0.327097,-0.0632063,-0.0357718,0.326549,1,1,1,1
0.058,0,1,-0.0113993,0.000387386,0.000590294,0.0553124,-0.00369428,0.00110674,-0.187561,0.00702369,0.0207699,0.684245,-0.0410016,0.0156839,35,35,35,35,35,35,35,35,35,35,35,35,-0.0742081,-0.0353844,0.327102,-0.0628089,-0.0357718,0.326512,1,1,1,1
0.06,0,1,-0.0117959,0.000387386,0.000629278,0.0573375,-0.00381161,0.00110531,-0.18717,0.00702369,0.0214185,0.683206,-0.040942,0.0156844,35,35,35,35,35,35,35,35,35,35,35,35,-0.0742081,-0.0353844,0.327102,-0.0624123,-0.0357718,0.326473,1,1,1,1
0.062,0,1,-0.0121475,0.000413362,0.000674359,0.0592213,-0.00392686,0.00118339,-0.185135,0.00742969,0.0221004,0.677786,-0.0405656,0.0150844,35,35,35,35,35,35,35,35,35,35,35,35,-0.0741639,-0.0353584,0.327107,-0.0620165,-0.0357718,0.326432,1,1,1,1
0.064,0,1,-0.0124895,0.000442481,0.000721228,0.0610789,-0.00403862,0.00126255,-0.183053,0.00790788,0.0228099,0.673438,-0.0393824,0.0144293,35,35,35,35,35,35,35,35,35,35,35,35,-0.074111,-0.0353293,0.327112,-0.0616215,-0.0357718,0.326391,1,1,1,1
0.066,0,1,-0.0128836,0.000442481,0.000764087,0.0630945,-0.00415524,0.00126114,-0.182622,0.00790788,0.0234544,0.672293,-0.0393169,0.0144298,35,35,35,35,35,35,35,35,35,35,35,35,-0.074111,-0.0353293,0.327112,-0.0612274,-0.0357718,0.326348,1,1,1,1
0.068,0,1,-0.0132177,0.000473454,0.000813951,0.0649331,-0.00426032,0.00133645,-0.180553,0.00839588,0.0242031,0.668082,-0.0376558,0.0137485,35,35,35,35,35,35,35,35,35,35,35,35,-0.0740519,-0.0352984,0.327118,-0.0608342,-0.0357718,0.326304,1,1,1,1
0.07,0,1,-0.0135447,0.000506327,0.000865625,0.0667604,-0.00435826,0.00140801,-0.178492,0.00888254,0.0249869,0.664864,-0.0361004,0.0130596,35,35,35,35,35,35,35,35,35,35,35,35,-0.0739866,-0.0352655,0.327124,-0.0604419,-0.0357718,0.326258,1,1,1,1
0.072,0,1,-0.0139361,0.000506327,0.000912334,0.0687657,-0.00447412,0.0014066,-0.178021,0.00888254,0.025627,0.663615,-0.0360291,0.0130601,35,35,35,35,35,35,35,35,35,35,35,35,-0.0739866,-0.0352655,0.327124,-0.0600506,-0.0357718,0.326212,1,1,1,1
0.074,0,1,-0.0142552,0.000541085,0.000967161,0.0705803,-0.00456455,0.00147449,-0.175958,0.00938071,0.0264425,0.66153,-0.0346893,0.0124388,35,35,35,35,35,35,35,35,35,35,35,35,-0.0739153,-0.0352307,0.327131,-0.0596602,-0.0357718,0.326164,1,1,1,1
0.076,0,1,-0.0145715,0.000575738,0.00102352,0.0723976,-0.00464995,0.00153549,-0.173982,0.0098479,0.0272604,0.659447,-0.0334272,0.0118796,35,35,35,35,35,35,35,35,35,35,35,35,-0.0738423,-0.0351961,0.327138,-0.0592708,-0.0357718,0.326114,1,1,1,1
0.078,0,1,-0.014877,0.000614106,0.00108224,0.0741975,-0.0047271,0.00159668,-0.171926,0.0103335,0.0280978,0.657301,-0.0321234,0.0113145,35,35,35,35,35,35,35,35,35,35,35,35,-0.0737594,-0.0351577,0.327146,-0.0588824,-0.0357718,0.326064,1,1,1,1
0.08,0,1,-0.0152643,0.000614106,0.00113403,0.0761875,-0.00484189,0.00159521,-0.171404,0.0103335,0.0287314,0.655913,-0.0320445,0.0113151,35,35,35,35,35,35,35,35,35,35,35,35,-0.0737594,-0.0351577,0.327146,-0.0584951,-0.0357718,0.326012,1,1,1,1
0.082,0,1,-0.0155619,0.000654292,0.00119605,0.0779755,-0.00491227,0.00165316,-0.169331,0.0108103,0.0295744,0.653759,-0.0307598,0.0107779,35,35,35,35,35,35,35,35,35,35,35,35,-0.0736706,-0.0351175,0.327155,-0.0581088,-0.0357718,0.325959,1,1,1,1
0.084,0,1,-0.0158576,0.000694014,0.0012596,0.0797663,-0.0049792,0.00170515,-0.167336,0.0112543,0.0304126,0.651734,-0.029539,0.010296,35,35,35,35,35,35,35,35,35,35,35,35,-0.0735812,-0.0350778,0.327164,-0.0577236,-0.0357718,0.325905,1,1,1,1
0.086,0,1,-0.0162416,0.000694014,0.00131518,0.0817438,-0.00509316,0.00170362,-0.166775,0.0112543,0.0310409,0.650244,-0.0294544,0.0102968,35,35,35,35,35,35,35,35,35,35,35,35,-0.0735812,-0.0350778,0.327164,-0.0573396,-0.0357718,0.325849,1,1,1,1
0.088,0,1,-0.0165238,0.00073771,0.0013824,0.0834962,-0.00514997,0.00175692,-0.16417,0.0117893,0.0318109,0.643797,-0.0285339,0.0105313,35,35,35,35,35,35,35,35,35,35,35,35,-0.0734805,-0.0350341,0.327175,-0.0569567,-0.0357718,0.325792,1,1,1,1
0.09,0,1,-0.0167964,0.000783787,0.00145128,0.0852175,-0.0052002,0.00181424,-0.161329,0.0124738,0.0325644,0.639529,-0.0272165,0.0114831,35,35,35,35,35,35,35,35,35,35,35,35,-0.0733714,-0.034988,0.327185,-0.056575,-0.0357718,0.325734,1,1,1,1
0.092,0,1,-0.0170593,0.000832551,0.00152208,0.0869195,-0.00524138,0.00187597,-0.15854,0.0131875,0.0333897,0.635443,-0.0254276,0.0123278,35,35,35,35,35,35,35,35,35,35,35,35,-0.0732538,-0.0349393,0.327197,-0.0561944,-0.0357718,0.325675,1,1,1,1
0.094,0,1,-0.0174386,0.000832551,0.00158265,0.0888791,-0.00535412,0.0018743,-0.157928,0.0131875,0.0340104,0.633817,-0.0253356,0.0123289,35,35,35,35,35,35,35,35,35,35,35,35,-0.0732538,-0.0349393,0.327197,-0.0558151,-0.0357718,0.325614,1,1,1,1
0.096,0,1,-0.0176909,0.00088405,0.00165681,0.0905584,-0.00538488,0.00193998,-0.155162,0.0139106,0.0348836,0.629781,-0.0234012,0.0130792,35,35,35,35,35,35,35,35,35,35,35,35,-0.073128,-0.0348878,0.327209,-0.0554371,-0.0357718,0.325552,1,1,1,1
0.098,0,1,-0.0179338,0.000938301,0.00173323,0.0922202,-0.00540519,0.00200917,-0.152416,0.0146343,0.0357872,0.625797,-0.0214384,0.0137551,35,35,35,35,35,35,35,35,35,35,35,35,-0.0729941,-0.0348335,0.327223,-0.0550603,-0.0357718,0.325489,1,1,1,1
0.1,0,1,-0.0183093,0.000938301,0.0017975,0.0941653,-0.00551696,0.00200738,-0.151766,0.0146343,0.0364017,0.62407,-0.021341,0.0137566,35,35,35,35,35,35,35,35,35,35,35,35,-0.0729941,-0.0348335,0.327223,-0.0546848,-0.0357718,0.325425,1,1,1,1
0.102,0,1,-0.0185416,0.000995298,0.00187752,0.0958049,-0.00552647,0.00207968,-0.149018,0.0153551,0.0373217,0.620089,-0.0193904,0.0143737,35,35,35,35,35,35,35,35,35,35,35,35,-0.0728523,-0.0347765,0.327237,-0.0543107,-0.0357718,0.32536,1,1,1,1
0.104,0,1,-0.0187647,0.00105503,0.00195995,0.0974276,-0.0055257,0.00215486,-0.146275,0.016071,0.0382534,0.616137,-0.0174662,0.0149416,35,35,35,35,35,35,35,35,35,35,35,35,-0.0727026,-0.0347168,0.327253,-0.0539379,-0.0357718,0.325293,1,1,1,1
0.106,0,1,-0.0189871,0.00111411,0.00204392,0.0990509,-0.00552146,0.00222845,-0.14364,0.0167441,0.0391745,0.612311,-0.0156731,0.0154423,35,35,35,35,35,35,35,35,35,35,35,35,-0.0725536,-0.0346577,0.327269,-0.0535665,-0.0357718,0.325225,1,1,1,1
0.108,0,1,-0.0193571,0.00111411,0.00211306,0.100975,-0.00563182,0.00222641,-0.14294,0.0167441,0.0397802,0.610452,-0.0155686,0.0154444,35,35,35,35,35,35,35,35,35,35,35,35,-0.0725536,-0.0346577,0.327269,-0.0531964,-0.0357718,0.325156,1,1,1,1
0.11,0,1,-0.0195608,0.0011791,0.00220158,0.10256,-0.00561119,0.0023065,-0.140182,0.0174491,0.0407202,0.606491,-0.0137143,0.0159389,35,35,35,35,35,35,35,35,35,35,35,35,-0.0723886,-0.0345927,0.327287,-0.0528278,-0.0357718,0.325086,1,1,1,1
0.112,0,1,-0.0197551,0.00124671,0.00229252,0.104119,-0.00558,0.00238902,-0.137235,0.0181055,0.0415796,0.595236,-0.0111704,0.0165418,35,35,35,35,35,35,35,35,35,35,35,35,-0.0722158,-0.0345251,0.327307,-0.0524607,-0.0357718,0.325014,1,1,1,1
0.114,0,1,-0.0199485,0.00131296,0.00238439,0.105617,-0.00554249,0.00247027,-0.134091,0.0187213,0.0423695,0.579326,-0.00853806,0.0172958,35,35,35,35,35,35,35,35,35,35,35,35,-0.0720435,-0.0344589,0.327326,-0.052095,-0.0357718,0.324941,1,1,1,1
0.116,0,1,-0.0203029,0.0013167,0.00245941,0.107495,-0.00564281,0.00247266,-0.133209,0.0187583,0.0429769,0.57675,-0.00829317,0.0173417,35,35,35,35,35,35,35,35,35,35,35,35,-0.0720337,-0.0344551,0.327327,-0.0517308,-0.0357718,0.324867,1,1,1,1
0.118,0,1,-0.0204738,0.00138935,0.00255558,0.108897,-0.00558247,0.00256256,-0.129922,0.0194951,0.0437918,0.566583,-0.00581394,0.0181839,35,35,35,35,35,35,35,35,35,35,35,35,-0.071842,-0.0343825,0.327348,-0.0513682,-0.0357718,0.324792,1,1,1,1
0.12,0,1,-0.0206445,0.00146081,0.00265264,0.110287,-0.00551933,0.00265143,-0.12677,0.0202212,0.0446067,0.559909,-0.00357716,0.0189654,35,35,35,35,35,35,35,35,35,35,35,35,-0.0716515,-0.034311,0.327369,-0.051007,-0.0357718,0.324716,1,1,1,1
0.122,0,1,-0.021004,0.00146081,0.00273013,0.112172,-0.00562699,0.00264883,-0.125985,0.0202212,0.0451953,0.557823,-0.00346093,0.018969,35,35,35,35,35,35,35,35,35,35,35,35,-0.0716515,-0.034311,0.327369,-0.0506475,-0.0357718,0.324638,1,1,1,1
0.124,0,1,-0.0211517,0.00153911,0.00283164,0.1135,-0.00554146,0.00274634,-0.122715,0.0210002,0.0460535,0.551864,-0.00105353,0.0196936,35,35,35,35,35,35,35,35,35,35,35,35,-0.0714413,-0.0342327,0.327391,-0.0502895,-0.0357718,0.32456,1,1,1,1
0.126,0,1,-0.0212886,0.00162043,0.00293551,0.114801,-0.00544214,0.00284659,-0.119536,0.0218104,0.0469881,0.545877,0.001724,0.020143,35,35,35,35,35,35,35,35,35,35,35,35,-0.0712218,-0.0341514,0.327415,-0.0499332,-0.0357718,0.32448,1,1,1,1
0.128,0,1,-0.0216433,0.00162043,0.00301649,0.116668,-0.00554855,0.0028437,-0.118715,0.0218104,0.0475689,0.543695,0.00184507,0.0201474,35,35,35,35,35,35,35,35,35,35,35,35,-0.0712218,-0.0341514,0.327415,-0.0495785,-0.0357718,0.324399,1,1,1,1
0.13,0,1,-0.0217801,0.00170031,0.00312265,0.117969,-0.00544624,0.00293999,-0.115641,0.022574,0.0484801,0.538332,0.00438012,0.0205216,35,35,35,35,35,35,35,35,35,35,35,35,-0.0710056,-0.0340715,0.327439,-0.0492255,-0.0357718,0.324317,1,1,1,1
0.132,0,1,-0.0218945,0.00178759,0.00323259,0.119216,-0.00531892,0.00304333,-0.11243,0.0233747,0.0494028,0.533202,0.00693269,0.0208862,35,35,35,35,35,35,35,35,35,35,35,35,-0.0707687,-0.0339842,0.327466,-0.0488742,-0.0357718,0.324234,1,1,1,1
0.134,0,1,-0.0219982,0.00187791,0.00334501,0.120442,-0.00517845,0.00314816,-0.109205,0.0241711,0.0503168,0.528405,0.00939051,0.0212273,35,35,35,35,35,35,35,35,35,35,35,35,-0.0705227,-0.0338939,0.327494,-0.0485245,-0.0357718,0.324149,1,1,1,1
