t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000408403,0,6.67182e-07,0.00207317,3.27208e-05,5.67684e-06,-0.204438,-5.59236e-07,0.000712604,-0.000239044,0.000474619,-0.000366793,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783298,-0.0185149,0.327669,-0.0779214,-0.0185149,0.327668,1,1,1,1
0.004,0,1,-0.000816025,8.58487e-08,2.54206e-06,0.00414642,6.50944e-05,1.05416e-05,-0.204425,-9.44976e-07,0.00137975,0.72532,0.0119273,0.00162121,35,35,35,35,35,35,35,35,35,35,35,35,-0.078329,-0.0185149,0.327668,-0.077513,-0.0185149,0.327666,1,1,1,1
0.006,0,1,-0.0012239,8.31595e-08,6.40306e-06,0.00617847,9.81128e-05,1.10974e-05,-0.20444,-0.000268962,0.00242921,0.636349,0.00961963,-0.000794297,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783286,-0.0185149,0.327669,-0.0771047,-0.0185149,0.327663,1,1,1,1
0.008,0,1,-0.00163213,8.31595e-08,1.10727e-05,0.00825104,0.000130818,1.6772e-05,-0.204399,-0.000268962,0.00309619,0.636242,0.00961795,-0.000794588,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783286,-0.0185149,0.327669,-0.0766964,-0.0185149,0.327658,1,1,1,1
0.01,0,1,-0.00203969,4.70766e-07,1.91081e-05,0.0090137,0.000127932,5.21173e-06,-0.204323,0.00138916,0.00399859,0.539256,0.00720105,0.000808443,35,35,35,35,35,35,35,35,35,35,35,35,-0.078328,-0.0185145,0.327671,-0.0762883,-0.0185149,0.327652,1,1,1,1
0.012,0,1,-0.00244692,1.05138e-05,2.83326e-05,0.0105258,0.000147397,1.4139e-05,-0.204251,0.00347747,0.00467384,0.679765,0.0115468,0.00361658,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783272,-0.0185044,0.327673,-0.0758803,-0.0185149,0.327645,1,1,1,1
0.014,0,1,-0.00285475,1.05138e-05,3.70019e-05,0.0125968,0.000180069,1.98294e-05,-0.20417,0.00347747,0.00534022,0.67955,0.0115434,0.00361598,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783272,-0.0185044,0.327673,-0.0754725,-0.0185149,0.327636,1,1,1,1
0.016,0,1,-0.00326157,2.52298e-05,4.92101e-05,0.014566,0.000213667,3.86498e-05,-0.204044,0.0039025,0.00608765,0.707645,0.0120817,0.00457847,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783264,-0.0184897,0.327675,-0.0750648,-0.0185149,0.327626,1,1,1,1
0.018,0,1,-0.00366803,4.02439e-05,6.32859e-05,0.0165637,0.000246931,5.85422e-05,-0.203882,0.00390331,0.00690845,0.707825,0.0117453,0.00456059,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783254,-0.0184747,0.327678,-0.0746574,-0.0185149,0.327615,1,1,1,1
0.02,0,1,-0.0040752,4.02439e-05,7.59497e-05,0.0186323,0.000279593,6.42215e-05,-0.203759,0.00390331,0.00757383,0.707502,0.0117402,0.0045597,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783254,-0.0184747,0.327678,-0.0742502,-0.0185149,0.327602,1,1,1,1
0.022,0,1,-0.00448093,5.52447e-05,9.32186e-05,0.0206288,0.000311501,8.40439e-05,-0.203568,0.00390271,0.00837255,0.707434,0.011467,0.00455589,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783243,-0.0184597,0.327681,-0.0738433,-0.0185149,0.327588,1,1,1,1
0.024,0,1,-0.00488616,7.02369e-05,0.000112315,0.0226251,0.000342495,0.000103901,-0.203365,0.00390295,0.00915362,0.707148,0.0111662,0.00455829,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783229,-0.0184447,0.327685,-0.0734367,-0.0185149,0.327573,1,1,1,1
0.026,0,1,-0.00529244,7.02369e-05,0.000128966,0.0246903,0.000375134,0.000109571,-0.203202,0.00390295,0.00981759,0.706717,0.0111593,0.00455711,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783229,-0.0184447,0.327685,-0.0730304,-0.0185149,0.327556,1,1,1,1
0.028,0,1,-0.00569682,8.52213e-05,0.000151196,0.026685,0.000405742,0.000129626,-0.20297,0.00390439,0.0105812,0.706164,0.0108273,0.00456344,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783213,-0.0184297,0.327689,-0.0726245,-0.0185149,0.327538,1,1,1,1
0.03,0,1,-0.0061006,0.00010021,0.000175157,0.0286784,0.000435338,0.00014976,-0.202721,0.00390669,0.0113458,0.705579,0.0106373,0.00456402,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783196,-0.0184147,0.327694,-0.072219,-0.0185149,0.327519,1,1,1,1
0.032,0,1,-0.00650574,0.00010021,0.000195785,0.0307392,0.000467938,0.000155422,-0.202517,0.00390669,0.012008,0.70504,0.0106287,0.00456253,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783196,-0.0184147,0.327694,-0.0718138,-0.0185149,0.327498,1,1,1,1
0.034,0,1,-0.00690846,0.000115211,0.000222771,0.0327293,0.000496636,0.000175567,-0.202241,0.0039108,0.0127664,0.704432,0.0104803,0.00456366,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783176,-0.0183997,0.327699,-0.0714091,-0.0185149,0.327476,1,1,1,1
0.036,0,1,-0.0073105,0.000130232,0.000251433,0.0347176,0.000524585,0.000195728,-0.201951,0.00391679,0.0135183,0.703799,0.010353,0.00456754,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783154,-0.0183847,0.327704,-0.0710049,-0.0185149,0.327453,1,1,1,1
0.038,0,1,-0.00771425,0.000130232,0.000276025,0.0367732,0.000557133,0.000201381,-0.201707,0.00391679,0.0141783,0.703152,0.0103427,0.00456575,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783154,-0.0183847,0.327704,-0.0706011,-0.0185149,0.327428,1,1,1,1
0.04,0,1,-0.008115,0.000145279,0.000307653,0.0387556,0.000584072,0.000221602,-0.201223,0.00392162,0.0149272,0.698914,0.0101373,0.00456527,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783129,-0.0183697,0.32771,-0.0701979,-0.0185149,0.327402,1,1,1,1
0.042,0,1,-0.0085125,0.000160875,0.000340627,0.0407128,0.000606997,0.000246564,-0.199909,0.00419799,0.0155824,0.697324,0.00948988,0.00614131,35,35,35,35,35,35,35,35,35,35,35,35,-0.0783077,-0.0183541,0.327716,-0.0697952,-0.0185149,0.327375,1,1,1,1
0.044,0,1,-0.00890612,0.00017669,0.000374596,0.0426682,0.000629217,0.000278204,-0.198672,0.00449131,0.0162434,0.695659,0.00961539,0.00743548,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782992,-0.0183383,0.327721,-0.0693931,-0.0185149,0.327346,1,1,1,1
0.046,0,1,-0.00930708,0.0001776,0.000404754,0.0447101,0.000661162,0.000285484,-0.198321,0.00450825,0.0169005,0.694835,0.00962403,0.00749387,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782986,-0.0183373,0.327721,-0.0689916,-0.0185149,0.327317,1,1,1,1
0.048,0,1,-0.00969513,0.000195533,0.00044174,0.0466514,0.000684803,0.000324979,-0.197022,0.00483247,0.0175842,0.693349,0.0101096,0.00848687,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782858,-0.0183194,0.327727,-0.0685906,-0.0185149,0.327285,1,1,1,1
0.05,0,1,-0.0100954,0.000195533,0.000474214,0.0486938,0.000717239,0.000330625,-0.196697,0.00483247,0.0182386,0.692487,0.0100958,0.00848447,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782858,-0.0183194,0.327727,-0.0681904,-0.0185149,0.327253,1,1,1,1
0.052,0,1,-0.0104784,0.000214707,0.000514022,0.0506266,0.000744447,0.000374499,-0.195386,0.00516161,0.0189445,0.690948,0.0105091,0.00921393,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782693,-0.0183002,0.327733,-0.0677908,-0.0185149,0.327219,1,1,1,1
0.054,0,1,-0.0108583,0.000234025,0.000555074,0.0525594,0.000775054,0.000419189,-0.194123,0.00547245,0.0196583,0.689412,0.0110648,0.00969533,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782503,-0.0182809,0.327739,-0.0673919,-0.0185149,0.327184,1,1,1,1
0.056,0,1,-0.0112565,0.000234025,0.000591462,0.0545938,0.000807443,0.000424817,-0.193758,0.00547245,0.0203093,0.688444,0.0110492,0.00969262,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782503,-0.0182809,0.327739,-0.0669938,-0.0185149,0.327148,1,1,1,1
0.058,0,1,-0.0116303,0.000255627,0.00063574,0.0565118,0.000841294,0.000473795,-0.192426,0.0058019,0.0210519,0.686935,0.0117219,0.0100517,35,35,35,35,35,35,35,35,35,35,35,35,-0.0782267,-0.0182593,0.327746,-0.0665964,-0.0185149,0.32711,1,1,1,1
0.06,0,1,-0.0119997,0.000278491,0.000681666,0.0584254,0.000878513,0.000523874,-0.191085,0.00613709,0.021811,0.685669,0.0124582,0.0101244,35,35,35,35,35,35,35,35,35,35,35,35,-0.0781995,-0.0182365,0.327753,-0.0661998,-0.0185149,0.327071,1,1,1,1
0.062,0,1,-0.0123955,0.000278491,0.000721944,0.0604509,0.00091085,0.000529468,-0.19068,0.00613709,0.0224582,0.684596,0.0124408,0.0101214,35,35,35,35,35,35,35,35,35,35,35,35,-0.0781995,-0.0182365,0.327753,-0.065804,-0.0185149,0.327031,1,1,1,1
0.064,0,1,-0.0127598,0.000302603,0.000770865,0.0623553,0.000951435,0.00057943,-0.189327,0.00646366,0.0232163,0.682924,0.0131393,0.0100842,35,35,35,35,35,35,35,35,35,35,35,35,-0.0781688,-0.0182123,0.32776,-0.065409,-0.0185149,0.326989,1,1,1,1
0.066,0,1,-0.0131188,0.000328089,0.000821328,0.0642411,0.000993901,0.000629497,-0.187366,0.00693447,0.023898,0.679354,0.0132782,0.0101299,35,35,35,35,35,35,35,35,35,35,35,35,-0.0781337,-0.0181869,0.327768,-0.0650149,-0.0185149,0.326946,1,1,1,1
0.068,0,1,-0.013512,0.000328089,0.000865473,0.0662568,0.00102617,0.000635041,-0.186921,0.00693447,0.0245411,0.678176,0.0132591,0.0101266,35,35,35,35,35,35,35,35,35,35,35,35,-0.0781337,-0.0181869,0.327768,-0.0646217,-0.0185149,0.326902,1,1,1,1
0.07,0,1,-0.0138625,0.000355739,0.000918475,0.0681215,0.00106931,0.000685957,-0.184654,0.00756095,0.0251859,0.675745,0.0137905,0.0102826,35,35,35,35,35,35,35,35,35,35,35,35,-0.078092,-0.0181592,0.327775,-0.0642294,-0.0185149,0.326857,1,1,1,1
0.072,0,1,-0.0142053,0.000385808,0.000972826,0.0699761,0.00111676,0.000737289,-0.182399,0.00819992,0.0258581,0.673272,0.0148185,0.0103572,35,35,35,35,35,35,35,35,35,35,35,35,-0.0780434,-0.0181291,0.327783,-0.0638381,-0.0185149,0.32681,1,1,1,1
0.074,0,1,-0.0145957,0.000385808,0.00102081,0.0719811,0.00114895,0.000742773,-0.181916,0.00819992,0.0264966,0.671989,0.0147975,0.0103537,35,35,35,35,35,35,35,35,35,35,35,35,-0.0780434,-0.0181291,0.327783,-0.0634477,-0.0185149,0.326762,1,1,1,1
0.076,0,1,-0.0149298,0.000418302,0.00107793,0.0738215,0.0012024,0.00079423,-0.179661,0.00883634,0.0272057,0.669432,0.0159888,0.0104087,35,35,35,35,35,35,35,35,35,35,35,35,-0.0779881,-0.0180966,0.327791,-0.0630583,-0.0185149,0.326713,1,1,1,1
0.078,0,1,-0.0152562,0.000453206,0.00113666,0.0756516,0.00126239,0.000845765,-0.177413,0.00946763,0.0279471,0.666845,0.0172334,0.0104577,35,35,35,35,35,35,35,35,35,35,35,35,-0.0779261,-0.0180617,0.327799,-0.0626699,-0.0185149,0.326662,1,1,1,1
0.08,0,1,-0.0156436,0.000453206,0.00118846,0.077645,0.00129449,0.000851163,-0.17689,0.00946763,0.0285807,0.665458,0.0172106,0.010454,35,35,35,35,35,35,35,35,35,35,35,35,-0.0779261,-0.0180617,0.327799,-0.0622826,-0.0185149,0.326611,1,1,1,1
0.082,0,1,-0.0159651,0.000488478,0.00124972,0.0794698,0.00135922,0.000900274,-0.174725,0.0100607,0.0293395,0.66287,0.0184102,0.0104984,35,35,35,35,35,35,35,35,35,35,35,35,-0.0778614,-0.0180265,0.327807,-0.0618963,-0.0185149,0.326557,1,1,1,1
0.084,0,1,-0.0162756,0.000528016,0.00131324,0.0812749,0.00143242,0.000951859,-0.172471,0.0106815,0.0301273,0.660184,0.0196856,0.0105449,35,35,35,35,35,35,35,35,35,35,35,35,-0.0777867,-0.0179869,0.327816,-0.0615112,-0.0185149,0.326503,1,1,1,1
0.086,0,1,-0.0166596,0.000528016,0.00136882,0.0832558,0.00146441,0.000957144,-0.17191,0.0106815,0.0307556,0.658694,0.019661,0.010541,35,35,35,35,35,35,35,35,35,35,35,35,-0.0777867,-0.0179869,0.327816,-0.0611271,-0.0185149,0.326448,1,1,1,1
0.088,0,1,-0.0169614,0.000569906,0.0014355,0.0850459,0.00154446,0.00100872,-0.169644,0.0112977,0.0315608,0.655946,0.0209327,0.0105889,35,35,35,35,35,35,35,35,35,35,35,35,-0.0777056,-0.017945,0.327826,-0.0607442,-0.0185149,0.326391,1,1,1,1
0.09,0,1,-0.0172555,0.00061413,0.00150415,0.0868249,0.00163134,0.00106036,-0.167377,0.0119094,0.0323819,0.653167,0.0221937,0.0106383,35,35,35,35,35,35,35,35,35,35,35,35,-0.077618,-0.0179008,0.327837,-0.0603625,-0.0185149,0.326333,1,1,1,1
0.092,0,1,-0.0176361,0.00061413,0.00156347,0.0887925,0.00166321,0.00106551,-0.166777,0.0119094,0.0330045,0.651575,0.0221673,0.0106343,35,35,35,35,35,35,35,35,35,35,35,35,-0.077618,-0.0179008,0.327837,-0.059982,-0.0185149,0.326273,1,1,1,1
0.094,0,1,-0.0179213,0.000660648,0.00163533,0.0905487,0.00175653,0.0011172,-0.164283,0.0124995,0.0337505,0.642491,0.0230039,0.0107364,35,35,35,35,35,35,35,35,35,35,35,35,-0.077524,-0.0178543,0.327848,-0.0596027,-0.0185149,0.326213,1,1,1,1
0.096,0,1,-0.018197,0.00070937,0.0017088,0.0922332,0.0018524,0.00117006,-0.16135,0.0131145,0.0344661,0.629013,0.0234895,0.0111104,35,35,35,35,35,35,35,35,35,35,35,35,-0.0774216,-0.0178056,0.32786,-0.0592246,-0.0185149,0.326151,1,1,1,1
0.098,0,1,-0.0185738,0.00070937,0.00177184,0.0941866,0.00188413,0.00117503,-0.160712,0.0131145,0.0350826,0.62732,0.0234612,0.0111064,35,35,35,35,35,35,35,35,35,35,35,35,-0.0774216,-0.0178056,0.32786,-0.0588478,-0.0185149,0.326088,1,1,1,1
0.1,0,1,-0.0188381,0.000760592,0.00184818,0.0958156,0.00198516,0.00123013,-0.157781,0.0138015,0.0358203,0.619571,0.0247009,0.0116234,35,35,35,35,35,35,35,35,35,35,35,35,-0.0773105,-0.0177544,0.327872,-0.0584724,-0.0185149,0.326024,1,1,1,1
0.102,0,1,-0.0190991,0.000811588,0.0019256,0.0974343,0.00208963,0.00128509,-0.154977,0.014479,0.0365802,0.614689,0.0261167,0.012167,35,35,35,35,35,35,35,35,35,35,35,35,-0.0771973,-0.0177034,0.327884,-0.0580982,-0.0185149,0.325958,1,1,1,1
0.104,0,1,-0.0194654,0.000814493,0.00199299,0.0993541,0.00212549,0.00129273,-0.154183,0.014517,0.0371994,0.612764,0.0261701,0.0121941,35,35,35,35,35,35,35,35,35,35,35,35,-0.0771908,-0.0177005,0.327884,-0.0577254,-0.0185149,0.325891,1,1,1,1
0.106,0,1,-0.0197155,0.000868088,0.00207348,0.100949,0.00223805,0.00135035,-0.151372,0.0152043,0.0379844,0.608983,0.0276709,0.0127588,35,35,35,35,35,35,35,35,35,35,35,35,-0.0770695,-0.0176469,0.327897,-0.057354,-0.0185149,0.325824,1,1,1,1
0.108,0,1,-0.0200855,0.000868088,0.00214261,0.102877,0.00226952,0.00135502,-0.150672,0.0152043,0.03859,0.607124,0.0276395,0.0127548,35,35,35,35,35,35,35,35,35,35,35,35,-0.0770695,-0.0176469,0.327897,-0.056984,-0.0185149,0.325754,1,1,1,1
0.11,0,1,-0.0203178,0.000927355,0.00222696,0.104433,0.0023952,0.00141834,-0.147733,0.0159329,0.0394076,0.603676,0.029262,0.0133551,35,35,35,35,35,35,35,35,35,35,35,35,-0.0769332,-0.0175876,0.327911,-0.0566154,-0.0185149,0.325684,1,1,1,1
0.112,0,1,-0.0205402,0.000989395,0.00231337,0.105977,0.00252989,0.00148462,-0.144795,0.0166618,0.040247,0.600417,0.0308953,0.013952,35,35,35,35,35,35,35,35,35,35,35,35,-0.0767884,-0.0175255,0.327926,-0.0562482,-0.0185149,0.325612,1,1,1,1
0.114,0,1,-0.0209059,0.000989395,0.00238611,0.107888,0.00256121,0.00148905,-0.144058,0.0166618,0.0408456,0.59846,0.0308619,0.0139482,35,35,35,35,35,35,35,35,35,35,35,35,-0.0767884,-0.0175255,0.327926,-0.0558825,-0.0185149,0.32554,1,1,1,1
0.116,0,1,-0.0211252,0.00105073,0.002475,0.109433,0.00269876,0.00155465,-0.141221,0.0173519,0.0416866,0.595292,0.0324066,0.0145073,35,35,35,35,35,35,35,35,35,35,35,35,-0.0766436,-0.0174642,0.327941,-0.0555183,-0.0185149,0.325466,1,1,1,1
0.118,0,1,-0.0213268,0.00111815,0.0025669,0.110944,0.00285091,0.00162644,-0.138195,0.018053,0.0425283,0.588768,0.0338977,0.0150434,35,35,35,35,35,35,35,35,35,35,35,35,-0.0764825,-0.0173968,0.327958,-0.0551557,-0.0185149,0.325391,1,1,1,1
0.12,0,1,-0.0216879,0.00111815,0.0026432,0.112838,0.00288207,0.00163061,-0.137421,0.018053,0.0431195,0.586713,0.0338625,0.0150398,35,35,35,35,35,35,35,35,35,35,35,35,-0.0764825,-0.0173968,0.327958,-0.0547946,-0.0185149,0.325314,1,1,1,1
0.122,0,1,-0.0218767,0.00118793,0.0027381,0.114261,0.00303894,0.00170437,-0.133906,0.0186447,0.0438311,0.566503,0.0344357,0.0154528,35,35,35,35,35,35,35,35,35,35,35,35,-0.0763117,-0.017327,0.327975,-0.054435,-0.0185149,0.325237,1,1,1,1
0.124,0,1,-0.0220536,0.00126021,0.00283467,0.115609,0.00320152,0.00178095,-0.130402,0.0193495,0.0445659,0.555643,0.0358164,0.0161025,35,35,35,35,35,35,35,35,35,35,35,35,-0.0761306,-0.0172547,0.327993,-0.0540771,-0.0185149,0.325158,1,1,1,1
0.126,0,1,-0.0224099,0.00126021,0.0029145,0.117485,0.00323252,0.00178482,-0.129593,0.0193495,0.0451493,0.553492,0.0357792,0.0160994,35,35,35,35,35,35,35,35,35,35,35,35,-0.0761306,-0.0172547,0.327993,-0.0537207,-0.0185149,0.325078,1,1,1,1
0.128,0,1,-0.0225733,0.00133527,0.00301403,0.118787,0.00340391,0.00186473,-0.126085,0.0201018,0.0459121,0.546876,0.0374979,0.0168392,35,35,35,35,35,35,35,35,35,35,35,35,-0.0759393,-0.0171797,0.328011,-0.053366,-0.0185149,0.324997,1,1,1,1
