t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,-0.000408403,0,6.67182e-07,0.0020734,9.97233e-06,5.67828e-06,-0.204337,-2.40531e-05,0.000570952,-0.00231513,-0.000546648,-0.000106859,35,35,35,35,35,35,35,35,35,35,35,35,0.153205,-0.0205994,0.327823,0.153613,-0.0205994,0.327823,1,1,1,1
0.004,0,1,-0.00081618,-3.40589e-08,2.97224e-06,0.00414289,2.00768e-05,1.13368e-05,-0.204406,-1.41245e-05,0.001381,0.723745,0.00295303,0.00193584,35,35,35,35,35,35,35,35,35,35,35,35,0.153205,-0.0205994,0.327824,0.154022,-0.0205994,0.327821,1,1,1,1
0.006,0,1,-0.0012245,-3.40589e-08,6.30792e-06,0.00621598,3.00476e-05,1.7014e-05,-0.204379,-1.41245e-05,0.00204809,0.723672,0.00295268,0.00193564,35,35,35,35,35,35,35,35,35,35,35,35,0.153205,-0.0205994,0.327824,0.15443,-0.0205994,0.327817,1,1,1,1
0.008,0,1,-0.00163263,-7.78205e-07,1.23565e-05,0.00742501,3.1225e-05,1.3992e-05,-0.204385,0.000149132,0.00320933,0.403213,-0.000639562,-0.000778494,35,35,35,35,35,35,35,35,35,35,35,35,0.153206,-0.0206002,0.327825,0.154838,-0.0205994,0.327813,1,1,1,1
0.01,0,1,-0.0020404,6.36243e-06,2.00725e-05,0.00844371,2.65724e-05,2.46048e-05,-0.204258,0.00311325,0.00365182,0.61837,0.000883771,0.00497839,35,35,35,35,35,35,35,35,35,35,35,35,0.153206,-0.020593,0.327827,0.155246,-0.0205994,0.327807,1,1,1,1
0.012,0,1,-0.0024484,6.36243e-06,2.74091e-05,0.0105156,3.65387e-05,3.02933e-05,-0.20419,0.00311325,0.00431845,0.618188,0.000882898,0.00497789,35,35,35,35,35,35,35,35,35,35,35,35,0.153206,-0.020593,0.327827,0.155654,-0.0205994,0.327799,1,1,1,1
0.014,0,1,-0.00285569,2.03535e-05,3.73771e-05,0.01233,3.64323e-05,5.87607e-05,-0.204087,0.00436855,0.0049828,0.707698,0.00134126,0.00689194,35,35,35,35,35,35,35,35,35,35,35,35,0.153206,-0.020579,0.327828,0.156062,-0.0205994,0.327791,1,1,1,1
0.016,0,1,-0.00326271,3.72989e-05,4.90656e-05,0.014345,3.63074e-05,9.04706e-05,-0.203982,0.00445882,0.00575625,0.713355,0.000729649,0.0065974,35,35,35,35,35,35,35,35,35,35,35,35,0.153207,-0.0205621,0.32783,0.15647,-0.0205994,0.327781,1,1,1,1
0.018,0,1,-0.00366951,5.33947e-05,6.24417e-05,0.016364,3.50668e-05,0.000119872,-0.20386,0.00446315,0.00654443,0.712793,0.000503125,0.00645967,35,35,35,35,35,35,35,35,35,35,35,35,0.153208,-0.020546,0.327832,0.156877,-0.0205994,0.327769,1,1,1,1
0.02,0,1,-0.00407666,5.42897e-05,7.52311e-05,0.0184299,4.44327e-05,0.000126878,-0.203737,0.00446385,0.00721603,0.712445,0.000487095,0.00645491,35,35,35,35,35,35,35,35,35,35,35,35,0.153208,-0.0205451,0.327832,0.157284,-0.0205994,0.327757,1,1,1,1
