t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0.002,1,0.000201061,0,0,0,-0,-3.14159,0.100531,0,0,-3.10862e-16,3.10862e-16,-3.77482e-33,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00139858,-0.00591577,0.00283718,1,1,1,1
0.004,0.004,1,0.000402117,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100528,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00159964,-0.00591577,0.00283718,1,1,1,1
0.006,0.006,1,0.000603163,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100523,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00180069,-0.00591577,0.00283718,1,1,1,1
0.008,0.008,1,0.000804194,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100515,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00200172,-0.00591577,0.00283718,1,1,1,1
0.01,0.01,1,0.0010052,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100505,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00220273,-0.00591577,0.00283718,1,1,1,1
0.012,0.012,1,0.00120619,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100492,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00240371,-0.00591577,0.00283718,1,1,1,1
0.014,0.014,1,0.00140714,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100477,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00260467,-0.00591577,0.00283718,1,1,1,1
0.016,0.016,1,0.00160806,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100459,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00280558,-0.00591577,0.00283718,1,1,1,1
0.018,0.018,1,0.00180894,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100439,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00300646,-0.00591577,0.00283718,1,1,1,1
0.02,0.02,1,0.00200977,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100416,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00320729,-0.00591577,0.00283718,1,1,1,1
0.022,0.022,1,0.00221055,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100391,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.00340808,-0.00591577,0.00283718,1,1,1,1
0.024,0.024,1,0.00241128,0,0,-3.46945e-18,-3.46945e-18,2.77285e-17,0.100363,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00119752,-0.00591577,0.00283718,-0.0036088,-0.00591577,0.00283718,1,1,1,1
