t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0.002,1,0.000201061,0,0,9.32362e-310,-2.03712e-312,2.64086e-264,0.100531,0,0,-6.21725e-16,-5.86446e-33,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00601547,0.00407098,0.00097314,-0.00621653,0.00407098,0.00097314,1,1,1,1
0.004,0.004,1,0.000402117,0,0,0,0,0,0.100528,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00601547,0.00407098,0.00097314,-0.00641759,0.00407098,0.00097314,1,1,1,1
0.006,0.006,1,0.000603163,0,0,0,0,0,0.100523,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00601547,0.00407098,0.00097314,-0.00661863,0.00407098,0.00097314,1,1,1,1
0.008,0.008,1,0.000804194,0,0,0,0,0,0.100515,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00601547,0.00407098,0.00097314,-0.00681967,0.00407098,0.00097314,1,1,1,1
0.01,0.01,1,0.0010052,0,0,0,0,0,0.100505,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00601547,0.00407098,0.00097314,-0.00702068,0.00407098,0.00097314,1,1,1,1
0.012,0.012,1,0.00120619,0,0,0,0,0,0.100492,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00601547,0.00407098,0.00097314,-0.00722166,0.00407098,0.00097314,1,1,1,1
0.014,0.014,1,0.00140714,0,0,0,0,0,0.100477,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00742261,0.00407098,0.00097314,1,1,1,1
0.016,0.016,1,0.00169588,-8.01068e-05,-9.3097e-05,0,0,0,0.144366,-0.0400534,-0.0465485,0.230741,0.834714,-3.2084,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00762353,0.00407098,0.00097314,1,1,1,1
0.018,0.018,1,0.00189675,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100439,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00782441,0.00407098,0.00097314,1,1,1,1
0.02,0.02,1,0.00209759,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100416,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00802524,0.00407098,0.00097314,1,1,1,1
0.022,0.022,1,0.00229837,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100391,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00822603,0.00407098,0.00097314,1,1,1,1
0.024,0.024,1,0.00249909,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100363,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00842675,0.00407098,0.00097314,1,1,1,1
0.026,0.026,1,0.00269976,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100332,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00862742,0.00407098,0.00097314,1,1,1,1
0.028,0.028,1,0.00290036,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100299,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00882802,0.00407098,0.00097314,1,1,1,1
0.03,0.03,1,0.00310089,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100264,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00902854,0.00407098,0.00097314,1,1,1,1
0.032,0.032,1,0.00330134,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100226,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.009229,0.00407098,0.00097314,1,1,1,1
0.034,0.034,1,0.00350171,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100185,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00942937,0.00407098,0.00097314,1,1,1,1
0.036,0.036,1,0.00370199,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100142,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00962965,0.00407098,0.00097314,1,1,1,1
0.038,0.038,1,0.00390219,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100097,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.00982984,0.00407098,0.00097314,1,1,1,1
0.04,0.04,1,0.00410228,-8.01068e-05,-9.3097e-05,0.00065927,0.00238493,-0.009167,0.100048,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,-0.00592766,0.00399087,0.000880043,-0.0100299,0.00407098,0.00097314,1,1,1,1
