t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0.002,1,0.000439817,0,1.93443e-06,-0.00100529,5.60825e-06,4.47465e-07,0.219909,0,0.000967215,1.51788e-18,6.74921e-25,-8.51301e-24,35,35,35,35,35,35,35,35,35,35,35,35,0.0432928,-0.0237898,0.356475,0.042853,-0.0237898,0.356473,1,1,1,1
0.004,0.004,1,0.000879601,0,7.73757e-06,-0.00201058,1.12165e-05,8.94927e-07,0.219892,0,0.00290157,-0.35185,0.00196288,0.000156612,35,35,35,35,35,35,35,35,35,35,35,35,0.0432928,-0.0237898,0.356475,0.0424132,-0.0237898,0.356467,1,1,1,1
0.006,0.006,1,0.00131956,5.20383e-08,1.78181e-05,-0.00297602,1.89512e-05,1.50347e-06,0.21998,2.60191e-05,0.00504029,-0.337905,0.00270719,0.000212576,35,35,35,35,35,35,35,35,35,35,35,35,0.0432931,-0.0237898,0.356475,0.0419735,-0.0237898,0.356458,1,1,1,1
0.008,0.008,1,0.0017577,-7.06616e-07,3.14914e-05,-0.00326033,2.37826e-05,3.35173e-06,0.219072,-0.000379327,0.00683664,-0.0995076,0.00169157,0.00064589,35,35,35,35,35,35,35,35,35,35,35,35,0.0432916,-0.0237906,0.356476,0.0415339,-0.0237898,0.356444,1,1,1,1
0.01,0.01,1,0.00219718,-7.06616e-07,4.88968e-05,-0.00426555,2.93895e-05,3.80198e-06,0.219739,0,0.00870269,-0.351828,0.00196209,0.000158571,35,35,35,35,35,35,35,35,35,35,35,35,0.0432916,-0.0237906,0.356476,0.0410944,-0.0237898,0.356427,1,1,1,1
0.012,0.012,1,0.00263264,-8.39395e-06,7.12427e-05,-0.00501357,3.79146e-05,1.50275e-07,0.21773,-0.00384367,0.011173,-0.261805,0.00298125,-0.00127984,35,35,35,35,35,35,35,35,35,35,35,35,0.0432878,-0.0237982,0.356477,0.0406551,-0.0237898,0.356405,1,1,1,1
0.014,0.014,1,0.00306584,-1.70699e-05,9.78656e-05,-0.00595628,4.63187e-05,-2.33434e-06,0.216601,-0.00433797,0.0133115,-0.32995,0.00293975,-0.000870177,35,35,35,35,35,35,35,35,35,35,35,35,0.0432819,-0.0238069,0.356478,0.040216,-0.0237898,0.35638,1,1,1,1
0.016,0.016,1,0.00350471,-1.70699e-05,0.000126861,-0.00696138,5.19284e-05,-1.88038e-06,0.219432,0,0.0144977,-0.351785,0.00196428,0.000161183,35,35,35,35,35,35,35,35,35,35,35,35,0.0432819,-0.0238069,0.356478,0.0397772,-0.0237898,0.356351,1,1,1,1
0.018,0.018,1,0.00393505,-2.56667e-05,0.000161334,-0.00790576,5.8461e-05,-4.37106e-06,0.215173,-0.00429841,0.0172366,-0.33053,0.00228419,-0.000870887,35,35,35,35,35,35,35,35,35,35,35,35,0.0432736,-0.0238155,0.35648,0.0393386,-0.0237898,0.356318,1,1,1,1
0.02,0.02,1,0.00436275,-3.418e-05,0.000199778,-0.00884749,6.23826e-05,-7.02533e-06,0.213848,-0.00425665,0.0192218,-0.329607,0.00137016,-0.000925014,35,35,35,35,35,35,35,35,35,35,35,35,0.043263,-0.023824,0.356481,0.0389003,-0.0237898,0.356282,1,1,1,1
0.022,0.022,1,0.0048007,-3.418e-05,0.000240343,-0.00985241,6.79942e-05,-6.57149e-06,0.218973,0,0.0202827,-0.351721,0.00196603,0.000161118,35,35,35,35,35,35,35,35,35,35,35,35,0.043263,-0.023824,0.356481,0.0384623,-0.0237898,0.356241,1,1,1,1
0.024,0.024,1,0.00522536,-4.26068e-05,0.000286593,-0.0107932,6.92833e-05,-9.59612e-06,0.212331,-0.00421341,0.0231247,-0.329284,0.000447657,-0.00105034,35,35,35,35,35,35,35,35,35,35,35,35,0.0432501,-0.0238325,0.356483,0.0380248,-0.0237898,0.356197,1,1,1,1
0.026,0.026,1,0.00564731,-5.09469e-05,0.000336749,-0.0117341,6.81094e-05,-1.30482e-05,0.210977,-0.00417001,0.0250781,-0.329323,-0.000415082,-0.0011957,35,35,35,35,35,35,35,35,35,35,35,35,0.0432349,-0.0238408,0.356485,0.0375876,-0.0237898,0.356148,1,1,1,1
0.028,0.028,1,0.00608404,-5.09469e-05,0.000388856,-0.0127388,7.37233e-05,-1.25997e-05,0.218362,0,0.0260536,-0.351634,0.0019681,0.000157409,35,35,35,35,35,35,35,35,35,35,35,35,0.0432184,-0.0238486,0.356487,0.0371509,-0.0237898,0.356096,1,1,1,1
0.03,0.03,1,0.00650279,-5.92026e-05,0.000446721,-0.0136798,7.02339e-05,-1.64871e-05,0.209378,-0.00412787,0.0289326,-0.329354,-0.00122704,-0.00134221,35,35,35,35,35,35,35,35,35,35,35,35,0.0432174,-0.023849,0.356487,0.0367146,-0.0237898,0.35604,1,1,1,1
