t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,0.000439817,0,1.93443e-06,9.2746e-310,-2.03712e-312,-1.79037e-163,0.219909,0,0.000967215,-2.48933e-17,-1.94289e-17,7.28873e-22,35,35,35,35,35,35,35,35,35,35,35,35,0.0474137,-0.0236529,0.357635,0.0469739,-0.0236529,0.357633,1,1,1,1
0.004,0,1,0.000879601,0,7.73757e-06,-0.00100529,6.86187e-06,4.40107e-07,0.219892,0,0.00290157,-0.351847,0.00240164,0.000154036,35,35,35,35,35,35,35,35,35,35,35,35,0.0474139,-0.0236529,0.357635,0.0465341,-0.0236529,0.357628,1,1,1,1
0.006,0,1,0.00131982,-1.50946e-07,1.77595e-05,-0.00201056,1.37237e-05,8.8021e-07,0.220108,-7.54732e-05,0.00501098,-0.356781,0.00293408,-0.000342788,35,35,35,35,35,35,35,35,35,35,35,35,0.0474142,-0.0236531,0.357636,0.0460944,-0.0236529,0.357618,1,1,1,1
0.008,0,1,0.00175841,-1.11104e-07,3.12544e-05,-0.00302994,2.21075e-05,-9.84677e-08,0.219296,1.99211e-05,0.00674745,-0.123845,0.00210248,0.000876404,35,35,35,35,35,35,35,35,35,35,35,35,0.0474132,-0.023653,0.357636,0.0456548,-0.0236529,0.357604,1,1,1,1
0.01,0,1,0.00219513,-5.77494e-06,4.9166e-05,-0.00338378,2.8112e-05,2.40893e-06,0.218361,-0.00283192,0.00895576,-0.166833,0.00240797,-0.00129087,35,35,35,35,35,35,35,35,35,35,35,35,0.0474105,-0.0236587,0.357636,0.0452153,-0.0236529,0.357587,1,1,1,1
0.012,0,1,0.00262974,-1.59108e-05,7.15479e-05,-0.00386045,3.49967e-05,-1.27615e-06,0.217306,-0.00506791,0.011191,-0.323091,0.0035986,-0.00136189,35,35,35,35,35,35,35,35,35,35,35,35,0.0474058,-0.0236688,0.357637,0.044776,-0.0236529,0.357566,1,1,1,1
0.014,0,1,0.00306884,-1.59108e-05,9.66819e-05,-0.00478356,4.52832e-05,-5.16557e-06,0.219551,0,0.012567,-0.351799,0.00240388,0.000158453,35,35,35,35,35,35,35,35,35,35,35,35,0.0474058,-0.0236688,0.357637,0.0443369,-0.0236529,0.357541,1,1,1,1
0.016,0,1,0.00350117,-2.64306e-05,0.000126983,-0.0057887,5.21477e-05,-4.71918e-06,0.216165,-0.00525993,0.0151508,-0.33632,0.00293628,-0.00107882,35,35,35,35,35,35,35,35,35,35,35,35,0.0473992,-0.0236794,0.357638,0.0438981,-0.0236529,0.357512,1,1,1,1
0.018,0,1,0.0039314,-3.68887e-05,0.000161151,-0.00674962,6.0542e-05,-7.8032e-06,0.215114,-0.00522906,0.0170839,-0.336329,0.00233155,-0.0010903,35,35,35,35,35,35,35,35,35,35,35,35,0.0473909,-0.0236898,0.35764,0.0434595,-0.0236529,0.357479,1,1,1,1
0.02,0,1,0.00436969,-3.68887e-05,0.000197863,-0.00771056,6.72085e-05,-1.0925e-05,0.219143,0,0.0183558,-0.351742,0.00240597,0.000159098,35,35,35,35,35,35,35,35,35,35,35,35,0.0473909,-0.0236898,0.35764,0.0430212,-0.0236529,0.357442,1,1,1,1
0.022,0,1,0.00479746,-4.72772e-05,0.000239798,-0.00871554,7.40755e-05,-1.04777e-05,0.213886,-0.00519422,0.0209674,-0.335151,0.00148819,-0.00113269,35,35,35,35,35,35,35,35,35,35,35,35,0.0473807,-0.0237002,0.357641,0.0425832,-0.0236529,0.357401,1,1,1,1
0.024,0,1,0.00522374,-5.70597e-05,0.000285551,-0.00967311,7.83347e-05,-1.37297e-05,0.213139,-0.00489126,0.0228765,-0.335647,0.000788213,-0.00115708,35,35,35,35,35,35,35,35,35,35,35,35,0.0473687,-0.0237105,0.357643,0.0421457,-0.0236529,0.357357,1,1,1,1
0.026,0,1,0.00566023,-5.76016e-05,0.000333889,-0.0106321,8.05943e-05,-1.70602e-05,0.218245,-0.000270967,0.0241692,-0.350772,0.00229874,8.07351e-05,35,35,35,35,35,35,35,35,35,35,35,35,0.0473687,-0.0237105,0.357643,0.0417085,-0.0236529,0.357309,1,1,1,1
0.028,0,1,0.0060832,-6.78688e-05,0.000387425,-0.0116343,8.71523e-05,-1.68348e-05,0.211486,-0.00513359,0.0267681,-0.334743,-2.57051e-05,-0.00134691,35,35,35,35,35,35,35,35,35,35,35,35,0.047355,-0.0237208,0.357644,0.0412718,-0.0236529,0.357257,1,1,1,1
0.03,0,1,0.00651945,-6.78688e-05,0.000443372,-0.0125907,8.70911e-05,-2.07219e-05,0.218124,0,0.0279733,-0.351598,0.00240916,0.000154273,35,35,35,35,35,35,35,35,35,35,35,35,0.0473403,-0.0237305,0.357645,0.0408355,-0.0236529,0.357201,1,1,1,1
0.032,0,1,0.00693967,-7.80835e-05,0.000504578,-0.0135953,9.39612e-05,-2.02816e-05,0.210109,-0.00510735,0.0306032,-0.334757,-0.000665032,-0.00146025,35,35,35,35,35,35,35,35,35,35,35,35,0.0473394,-0.023731,0.357645,0.0403998,-0.0236529,0.357141,1,1,1,1
0.034,0,1,0.00735758,-8.82511e-05,0.000569593,-0.0145517,9.20776e-05,-2.45073e-05,0.208957,-0.00508381,0.0325076,-0.334801,-0.00125968,-0.00157104,35,35,35,35,35,35,35,35,35,35,35,35,0.0473222,-0.0237412,0.357647,0.0399646,-0.0236529,0.357077,1,1,1,1
0.036,0,1,0.00777421,-9.78455e-05,0.000638325,-0.0155083,8.84971e-05,-2.90611e-05,0.208316,-0.0047972,0.0343656,-0.335707,-0.00158337,-0.001578,35,35,35,35,35,35,35,35,35,35,35,35,0.0473042,-0.0237508,0.357648,0.03953,-0.0236529,0.35701,1,1,1,1
0.038,0,1,0.00820718,-9.83773e-05,0.000709655,-0.0164675,8.39919e-05,-3.36416e-05,0.216482,-0.000265875,0.0356652,-0.350558,0.00217797,4.55227e-05,35,35,35,35,35,35,35,35,35,35,35,35,0.0473031,-0.0237513,0.357648,0.039096,-0.0236529,0.356939,1,1,1,1
0.04,0,1,0.00861791,-0.000108503,0.000786187,-0.0174691,9.01966e-05,-3.3502e-05,0.205368,-0.00506269,0.0382663,-0.329534,-0.000687291,-0.00125526,35,35,35,35,35,35,35,35,35,35,35,35,0.0472805,-0.0237614,0.35765,0.0386626,-0.0236529,0.356863,1,1,1,1
0.042,0,1,0.00902261,-0.000118823,0.000866471,-0.0184106,8.82466e-05,-3.71438e-05,0.202349,-0.00516025,0.0401419,-0.328196,-0.000120951,-0.000426723,35,35,35,35,35,35,35,35,35,35,35,35,0.0472525,-0.0237718,0.357651,0.0382299,-0.0236529,0.356785,1,1,1,1
0.044,0,1,0.00945459,-0.000118823,0.000949157,-0.0193483,8.78941e-05,-3.84042e-05,0.21599,0,0.0413429,-0.351296,0.00241419,0.000138119,35,35,35,35,35,35,35,35,35,35,35,35,0.0472525,-0.0237718,0.357651,0.0377979,-0.0236529,0.356702,1,1,1,1
0.046,0,1,0.00985251,-0.000129364,0.00103676,-0.020352,9.47687e-05,-3.79871e-05,0.19896,-0.00527059,0.0437991,-0.327596,-0.00123851,0.000405458,35,35,35,35,35,35,35,35,35,35,35,35,0.0472192,-0.0237823,0.357652,0.0373667,-0.0236529,0.356615,1,1,1,1
0.048,0,1,0.010283,-0.000129364,0.00112703,-0.021288,9.12011e-05,-3.69041e-05,0.215229,0,0.0451362,-0.351188,0.00241317,0.000134575,35,35,35,35,35,35,35,35,35,35,35,35,0.0472192,-0.0237823,0.357652,0.0369362,-0.0236529,0.356525,1,1,1,1
0.05,0,1,0.010674,-0.00014015,0.0012219,-0.0222914,9.80732e-05,-3.6492e-05,0.195517,-0.00539282,0.0474379,-0.326864,-0.00273852,0.00126603,35,35,35,35,35,35,35,35,35,35,35,35,0.0471806,-0.0237931,0.357653,0.0365066,-0.0236529,0.356431,1,1,1,1
0.052,0,1,0.0110614,-0.000150601,0.00132024,-0.0232253,9.01935e-05,-3.30008e-05,0.193686,-0.00522536,0.049167,-0.327598,-0.00388639,0.00193487,35,35,35,35,35,35,35,35,35,35,35,35,0.0471367,-0.0238041,0.357654,0.0360778,-0.0236529,0.356333,1,1,1,1
0.054,0,1,0.0114869,-0.000151188,0.00142186,-0.0241613,7.9013e-05,-2.76352e-05,0.212743,-0.000293586,0.0508093,-0.349694,0.00201837,0.000242008,35,35,35,35,35,35,35,35,35,35,35,35,0.0471367,-0.0238041,0.357654,0.0356498,-0.0236529,0.356232,1,1,1,1
0.056,0,1,0.0118648,-0.000162475,0.00152741,-0.0251604,8.47577e-05,-2.69131e-05,0.18896,-0.00564369,0.0527756,-0.325774,-0.00581166,0.00269204,35,35,35,35,35,35,35,35,35,35,35,35,0.0470876,-0.0238154,0.357654,0.0352228,-0.0236529,0.356126,1,1,1,1
