t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0,1,0.000439817,0,1.93443e-06,-0.00100529,6.39698e-06,4.47729e-07,0.219909,0,0.000967215,2.0036e-17,1.94289e-17,-1.96598e-20,35,35,35,35,35,35,35,35,35,35,35,35,0.0461295,-0.0243425,0.356479,0.0456896,-0.0243425,0.356477,1,1,1,1
0.004,0,1,0.000879601,0,7.73757e-06,-0.00201057,1.27939e-05,8.95456e-07,0.219892,0,0.00290157,-0.351848,0.00223893,0.000156704,35,35,35,35,35,35,35,35,35,35,35,35,0.04613,-0.0243426,0.356479,0.0452499,-0.0243425,0.356471,1,1,1,1
0.006,0,1,0.00131983,-1.69494e-07,1.77948e-05,-0.00303161,2.10083e-05,-2.07411e-07,0.220116,-8.4747e-05,0.00502859,-0.357363,0.00287477,-0.000386305,35,35,35,35,35,35,35,35,35,35,35,35,0.04613,-0.0243426,0.356479,0.0448101,-0.0243425,0.356462,1,1,1,1
0.008,0,1,0.00175847,-3.81069e-07,3.15135e-05,-0.00354534,2.82223e-05,-9.99808e-07,0.219317,-0.000105788,0.00685936,-0.179805,0.00252465,-0.000278583,35,35,35,35,35,35,35,35,35,35,35,35,0.046129,-0.0243429,0.35648,0.0443705,-0.0243425,0.356448,1,1,1,1
0.01,0,1,0.00219794,-3.81069e-07,4.89188e-05,-0.00455056,3.46201e-05,-5.49263e-07,0.219739,0,0.00870269,-0.351827,0.0022397,0.000158685,35,35,35,35,35,35,35,35,35,35,35,35,0.046129,-0.0243429,0.35648,0.0439311,-0.0243425,0.356431,1,1,1,1
0.012,0,1,0.00263449,-5.5229e-06,7.10301e-05,-0.00533448,4.40134e-05,-5.34364e-06,0.218272,-0.00257091,0.0110556,-0.274373,0.0032848,-0.00167998,35,35,35,35,35,35,35,35,35,35,35,35,0.0461262,-0.024348,0.356481,0.0434918,-0.0243425,0.356409,1,1,1,1
0.014,0,1,0.00306891,-1.24934e-05,9.74733e-05,-0.00628216,5.32126e-05,-9.16746e-06,0.217212,-0.00348524,0.0132216,-0.331688,0.0032178,-0.00133906,35,35,35,35,35,35,35,35,35,35,35,35,0.0461216,-0.024355,0.356482,0.0430526,-0.0243425,0.356384,1,1,1,1
0.016,0,1,0.00350127,-1.95364e-05,0.000127982,-0.00723504,6.0243e-05,-1.29815e-05,0.21618,-0.00352151,0.0152545,-0.333507,0.00245871,-0.00133361,35,35,35,35,35,35,35,35,35,35,35,35,0.0461151,-0.024362,0.356483,0.0426138,-0.0243425,0.356355,1,1,1,1
0.018,0,1,0.00393987,-1.95364e-05,0.000160837,-0.00824008,6.66465e-05,-1.25268e-05,0.219296,0,0.0164274,-0.351764,0.00224411,0.000161643,35,35,35,35,35,35,35,35,35,35,35,35,0.0461151,-0.024362,0.356483,0.0421752,-0.0243425,0.356322,1,1,1,1
0.02,0,1,0.00436981,-2.6583e-05,0.00019917,-0.00919414,7.20118e-05,-1.64391e-05,0.214974,-0.00352329,0.0191666,-0.333921,0.00187505,-0.00136605,35,35,35,35,35,35,35,35,35,35,35,35,0.0461067,-0.0243691,0.356485,0.0417369,-0.0243425,0.356286,1,1,1,1
